ssn,leukocyty,hemoglobin,trombocyty,indicator,alt,ast,hematokrit,hbver,etytr,er-cv,erytrocyty
026-07-7970,6.61891,9.00057,5.53868,1.0,18.84821,38.9645,2.51606,3.27509,4.71412,24.62824,6.29884
026-13-7283,5.37048,5.30509,7.08478,1.0,38.1418,55.72771,8.97905,6.82372,5.73753,45.58673,8.01229
026-17-4906,6.59925,4.40829,6.40439,1.0,26.06419,11.73357,7.63149,7.86203,5.86409,49.43314,7.05423
026-56-2643,6.08168,8.56093,4.47364,0.0,12.14444,25.80217,6.61855,4.68063,5.85833,50.1046,5.58605
026-74-9784,6.16224,6.69493,7.6908,1.0,14.48237,75.61301,3.85091,4.83747,6.76864,47.26984,4.35865
027-39-8294,6.13345,5.49101,5.69459,1.0,10.35183,35.39713,4.75828,5.63373,7.72605,49.38729,3.28906
027-51-8979,7.3292,7.76804,5.94226,1.0,17.97231,43.50946,2.70404,4.79,5.97886,32.74458,5.42761
027-57-6440,5.86681,5.8206,5.73866,0.0,12.82566,55.64751,5.99351,6.45804,4.72705,48.68491,3.22993
027-67-2007,4.54958,5.58558,7.85136,0.0,17.32605,70.5796,7.2314,8.15952,6.11641,26.91673,6.17154
027-91-9076,6.65611,7.17959,4.73918,1.0,13.18842,48.92661,6.78738,3.98554,6.37174,54.53931,3.92041
028-19-0807,5.67637,8.60923,5.982637220405494,0.0,15.67541,47.58917,8.94556,5.16668,6.87701,58.90033,6.09286
028-21-2236,5.99944,6.50553,5.2993,1.0,11.20758,71.09783,9.1474,6.07974,5.05493,56.79737,5.609
028-23-7746,5.75894,5.24391,5.76548,0.0,14.1454,50.57439,6.91939,7.82635,5.14733,70.03813,6.35039
028-49-9804,5.1804,7.04166,6.93349,0.0,8.64202,45.17927,7.90121,5.72896,6.39645,41.32387,3.83751
028-63-2843,5.92851,9.01599,8.42872,1.0,21.19656,59.76578,3.60098,3.9496,5.9435,39.52111,6.45426
028-73-7785,4.54076,7.08117,4.25065,1.0,12.81975,46.14516,6.50753,7.98769,4.40685,66.64656,4.19911
028-87-6415,6.25289,8.69025,6.95937,1.0,14.54341,66.87066,3.96204,4.68442,6.77466,49.72943,6.2319
029-50-3831,6.3565,7.9363,5.75761,1.0,13.77814,26.47938,6.84885,4.79491,7.60816,71.86216,5.05347
029-80-0209,6.32422,6.77933,7.32226,1.0,16.19683,55.65945,6.03273,3.40991,4.78576,57.42435,4.02831
029-82-9024,7.62185,7.29147,5.51382,1.0,15.74567,51.53401,6.3646,7.43355,8.45266,48.1433,5.05368
030-11-4077,6.0865,9.75884,5.59977,0.0,23.85277,75.83453,8.07816,4.70477,5.60326,54.14642,7.20897
030-67-5757,6.35953,7.5943,6.56491,1.0,7.72994,25.36017,5.86438,4.41264,3.81,38.53087,4.4038
031-59-6738,7.13235,5.94555,6.60739,1.0,10.58802,54.52573,4.29334,5.54452,5.79425,33.55225,4.08427
031-81-9828,6.87955,5.04221,6.70936,0.0,15.8035,41.85623,6.48181,6.55522,4.36415,70.23776,3.87534
031-97-5322,5.15111,6.83958,5.32655,1.0,8.98998,40.54478,5.38862,5.18008,4.49198,57.58992,4.09354
032-40-9906,6.7388,6.74516,5.67625,1.0,17.94974,44.77823,5.18427,6.65613,5.41082,44.7577,4.86952
032-57-9415,5.07508,5.64038,5.23069,0.0,9.79892,62.02345,7.49399,4.42432,5.88967,41.06578,3.01943
032-72-1050,4.216,7.07125,8.47975,1.0,9.98713,50.7675,2.59717,5.47173,3.65752,33.32645,5.37837
033-03-1108,5.83098,6.65801,6.58257,1.0,15.46275,41.73967,8.7568,6.27884,6.42367,66.4811,4.81993
033-03-9459,5.4733,6.35718,6.39684,0.0,14.11556,47.86561,6.78527,5.14683,6.10524,40.08916,4.09725
033-09-3527,4.20558,9.72175,6.38734,1.0,13.97868,25.51333,5.28081,6.92889,6.20512,51.47233,4.16807
033-52-2620,6.31918,5.35611,4.97674,0.0,13.57802,54.69499,8.01855,5.80857,7.51875,71.82123,4.7721
033-90-5709,6.20562,5.96698,6.47247,1.0,14.14234,38.38248,5.20472,5.68809,8.22766,43.51722,4.41704
034-03-4699,6.21396,7.32121,6.8528,1.0,16.45655,46.03395,7.12496,7.07619,6.22424,27.18861,4.07023
034-03-8405,4.78602,5.90441,8.23142,1.0,8.57156,45.40829,4.93872,5.45982,6.16863,18.69251,4.01703
034-17-7430,5.63734,5.76685,7.78688,1.0,12.68321,50.39348,8.23484,7.03279,6.51925,49.07857,3.8779
034-78-1042,4.92268,6.55858,5.28097,1.0,17.02731,27.22562,8.05563,6.91722,7.99532,45.98144,3.4439
035-04-4300,5.63391,7.56734,3.99429,1.0,10.5286,25.13466,5.28732,4.80627,5.35572,15.49628,4.65716
035-10-8705,5.3849,5.98936,6.38933,0.0,17.69346,49.79821,6.92135,8.17546,6.49193,37.56037,6.08362
035-87-2128,6.42717,3.0922,5.33969,0.0,15.87707,41.77773,8.1317,6.93151,4.89213,32.78095,5.03531
036-20-2487,5.20055,5.90052,4.88924,1.0,11.84804,36.96599,4.26794,5.26307,6.39449,48.29654,4.44789
036-64-7272,5.42421,7.39566,5.31007,1.0,12.61974,77.88659,4.52671,7.68274,6.96082,57.11496,5.62443
037-13-8748,6.79884,6.28362,3.79588,0.0,13.79815,59.69994,7.05965,6.1644,7.04114,73.45192,3.87319
037-22-7431,4.35097,7.38728,7.8223,0.0,21.59076,36.65095,8.57703,4.25584,5.43281,68.08883,6.72615
037-35-0368,6.47108,7.44671,5.26413,1.0,17.34339,49.40424,4.10747,3.95361,4.24287,49.08211,4.41752
037-44-8824,7.12659,8.05463,4.80618,1.0,10.32702,18.43965,7.45846,5.90884,6.24305,63.89705,3.59448
037-67-4570,6.28244,7.2489,5.09147,1.0,12.53941,59.33667,5.43865,5.39297,6.61189,35.27133,4.54398
038-15-6599,6.17262,5.27857,6.01351,0.0,22.09533,22.37231,6.02677,7.01238,6.98825,58.40412,5.70047
038-32-4266,5.44871,7.40489,5.86943,0.0,14.51491,36.9942,7.48101,6.07718,4.87191,64.47413,3.98578
038-85-9678,5.70846,4.4936,5.6995,0.0,17.34078,64.2219,7.65236,7.39154,7.04279,42.69249,4.92797
039-16-7836,7.35166,4.7122,6.64732,0.0,17.10684,55.31163,6.79779,6.70288,5.58034,43.59816,4.25711
040-19-2579,5.67632,4.44075,5.46045,0.0,16.23634,62.83598,8.62144,8.22319,7.65355,57.61366,5.66206
040-73-0309,6.47985,6.09488,5.22783,0.0,12.52987,24.31511,4.97559,5.86777,6.34812,62.97483,2.96443
041-02-1571,6.93116,7.29532,5.63052,1.0,14.15005,39.14774,7.73091,6.82075,5.02625,45.46077,4.42063
041-20-9583,7.2702,8.0472,6.1012,1.0,13.10102,26.93721,4.94096,5.0024,6.09098,49.53112,5.13164
041-50-1073,6.14462,7.84229,6.78518,0.0,20.36775,51.39958,6.12538,4.09382,3.73261,23.86717,5.11706
041-80-5494,5.99359,7.58814,7.18371,1.0,15.50802,48.91321,5.85184,7.69989,5.60544,35.74649,5.62344
042-56-7928,6.36435,6.37387,4.61476,0.0,16.74618,44.97363,6.51984,5.51775,7.73223,48.07139,2.3039
042-67-9325,5.5707,5.02179,7.21733,0.0,15.03677,22.96948,7.46452,6.96809,6.99161,48.77581,3.17497
042-81-3007,6.76984,4.02668,5.08047,0.0,16.79962,34.04747,7.41809,6.34823,6.06497,38.4271,3.15381
043-09-4180,5.93415,6.38906,7.16009,1.0,15.0156,68.61409,4.20336,4.89403,4.20652,34.10399,3.67997
043-32-0800,7.28192,4.73388,6.05528,1.0,3.53563,53.3121,5.63894,6.25881,6.21245,63.41172,3.39007
043-66-3774,5.51987,7.26517,6.73676,0.0,12.87823,35.55233,6.83856,7.1215,6.42907,30.52203,5.2191
043-95-3838,6.81385,8.03784,5.15512,1.0,16.47564,59.20067,6.71533,6.38338,5.77999,69.13883,4.56669
044-11-6164,5.7171,8.84787,4.70369,1.0,13.80642,46.10232,5.93075,3.56102,6.20447,48.14661,6.5997
044-24-8083,5.34018,4.87019,5.70345,1.0,16.06162,12.45777,5.60671,4.74464,7.8397,41.97682,2.82721
044-48-0070,5.78942,6.53425,6.57846,1.0,19.70388,41.4243,8.22091,6.49507,6.44532,34.71849,3.91254
044-61-8051,6.22978,10.97592,6.58833,1.0,11.50929,61.86302,4.68791,1.80287,4.43722,43.21806,6.60058
044-93-6449,8.01364,6.775087079790713,4.78251,0.0,13.48846,45.60224,6.57948,7.45812,7.22927,59.11648,5.97075
045-19-6805,5.64859,6.45547,5.95842,1.0,16.31824,28.86446,6.86623,8.34598,5.62686,35.42298,2.81596
045-25-8461,5.64181,7.86914,7.23187,1.0,12.0828,51.45317,6.0929,7.8865,5.51624,37.04194,4.7869
045-26-9401,4.61236,5.42261,4.73145,1.0,15.87986,46.15778,8.6913,7.56073,4.07608,55.54244,6.02383
045-53-4612,7.21508,7.16014,4.38841,1.0,14.48932,31.39987,4.56827,5.5257,5.45025,36.59413,4.27914
046-35-8060,8.1829,5.81098,6.66157,1.0,13.19446,39.80952,6.11364,6.19942,6.59878,62.64848,4.289
046-86-6397,8.20407,5.98967,6.20545,1.0,15.15019,62.42241,4.9629,6.05361,5.81056,38.09589,3.91401
048-04-5401,5.41618,7.38068,5.45445,1.0,15.11844,75.69949,5.32106,4.00069,4.44007,42.2298,5.62217
048-71-3046,5.71718,6.98783,7.02872,1.0,13.79142,43.03138,8.05468,5.834,6.76628,56.20364,5.27688
048-87-0721,4.86328,5.3563,4.6602,1.0,14.01244,60.35704,8.80463,6.84526,6.85671,36.02941,4.17153
048-99-5620,5.17996,7.59211,5.14595,0.0,16.47215,50.1049,5.19261,5.4665,4.49364,49.04563,4.49646
049-53-6882,5.48155,5.07097,5.43301,1.0,24.48166,50.21418,6.75178,7.34922,5.52429,49.59862,5.53888
049-85-1606,6.44542,7.21202,6.21399,1.0,10.03695,62.94754,6.33679,8.21037,6.9442,46.89805,6.1976
049-94-8769,4.94225,4.10815,4.43516,1.0,16.6816,35.89831,4.83303,5.7157,4.94745,44.22268,2.77957
049-96-8677,6.03881,7.34335,5.15348,1.0,18.72388,60.93085,6.81402,7.05377,5.40207,75.93245,6.01379
050-18-9289,7.39277,9.4015,5.51751,1.0,15.89505,43.9774,7.26724,6.14571,5.91453,45.16437,3.09087
050-68-5750,7.63677,1.80219,4.01867,0.0,19.55153,33.27038,8.5751,6.14426,6.75844,57.08566,3.98775
051-14-4408,4.68275,9.1043,5.57965,1.0,12.05205,36.11831,6.66124,6.45988,7.34827,40.76868,3.71043
051-23-9258,5.44206,6.80795,5.4836,1.0,16.89837,58.96455,4.04918,4.89656,5.50173,66.12859,4.39049
052-37-1393,6.66801,5.81762,6.06676,0.0,16.93488,62.13221,7.57392,7.57521,5.7714,57.02,5.15588
052-46-9869,4.09334,8.09979,5.5443,1.0,18.35132,60.23391,7.80714,6.13455,5.75867,36.09113,4.91974
052-50-6101,5.75715,5.34893,6.54658,1.0,10.42326,36.71945,7.43771,8.11447,6.15014,38.55717,4.9344
053-41-5840,5.51443,6.75686,7.53506,0.0,11.65047,42.0911,9.09555,5.28177,5.07631,53.74861,5.07923
053-52-7819,4.91339,3.2568,6.82577,0.0,12.95614,47.9089,8.97051,7.63745,4.69553,36.71036,5.26746
054-09-8427,6.70127,6.80145,5.2782,1.0,7.23576,41.88243,4.50864,5.20628,5.40836,30.49604,4.05292
054-47-1582,7.30446,5.70191,6.82145,0.0,10.57961,44.31339,5.20445,4.3444,5.3247,40.22062,2.85008
055-56-0363,5.55606,6.55349,5.43843,1.0,11.67924,59.45007,5.86389,5.51782,5.37723,65.59777,5.15881
055-60-1203,6.96904,7.39464,4.17005,1.0,17.96425,50.77762,6.94592,7.54311,6.45214,58.49257,5.39745
055-90-8681,6.61612,3.76467,4.53696,0.0,22.18253,39.64946,8.305,7.94012,6.00047,58.95791,6.49254
056-05-4700,6.95626,7.14174,7.34089,1.0,16.20215,49.69277,6.45236,8.09959,3.71404,54.58819,4.60475
056-12-3355,7.21939,7.5855,4.7124,1.0,14.504,50.44811,6.70752,7.41615,5.70049,48.26899,4.54016
056-42-0548,5.97323,6.046,4.89886,1.0,9.24107,60.23371,4.57394,6.42408,6.57249,35.14641,4.70362
056-85-0166,6.26946,8.51483,5.7583,1.0,14.22189,44.5428,6.63047,6.18374,3.79721,39.32396,4.521
057-82-9154,6.95443,7.24991,5.25794,1.0,5.93335,46.89782,6.04971,3.11872,6.30652,66.45798,3.95177
058-29-1114,5.53466,5.49573,7.06972,0.0,7.43962,46.05894,6.33689,6.59927,5.70708,45.41472,3.50401
058-48-0453,4.9345,6.16196,6.58107,0.0,14.52062,55.53783,5.3749,6.99807,6.04544,28.0541,5.38052
058-58-8484,5.26118,8.18769,4.5355,0.0,20.96462,50.39254,6.657,3.75614,8.12529,43.41954,5.50275
058-64-9293,6.10406,7.49095,7.40564,1.0,15.40381,56.78393,7.16413,6.77058,6.5288,63.46478,3.38824
058-80-4965,6.71834,8.51891,3.98836,1.0,13.69248,54.51152,4.78727,3.39639,5.68106,46.07683,5.91385
059-31-0202,6.83105,6.93109,5.89515,1.0,9.18011,53.40348,4.26941,4.9173,5.46431,24.58335,4.49924
059-56-4093,6.35369,10.29312,5.26424,1.0,15.88285,50.99713,4.62458,2.94953,7.15743,32.87365,6.68226
060-04-9467,4.63257,6.70519,7.61678,1.0,14.08561,48.28888,9.86291,6.0284,7.19649,45.91868,5.43231
060-46-8577,5.11752,6.98567,5.35563,1.0,12.95691,52.88027,6.90081,7.47871,5.25021,54.91991,5.49486
061-06-3998,5.72535,5.61412,5.72598,0.0,9.05741,47.76349,5.36933,5.06309,7.34671,44.31712,3.93195
061-52-0992,6.74281,6.95766,5.18341,1.0,17.7271,41.30213,7.06421,7.19827,4.46732,49.53016,3.70497
061-56-8829,6.5744,4.70843,6.39579,0.0,16.30404,22.94037,8.25585,8.19261,7.37567,59.14941,5.79477
061-88-7576,6.78826,8.52262,5.38828,1.0,13.93329,21.61075,4.27067,8.77879,5.53274,83.69267,4.21347
061-98-8979,3.83908,5.37022,6.08498,0.0,17.37071,60.69858,6.08898,5.04903,6.58841,61.82141,2.2396
062-05-8036,4.9054,7.69322,5.62862,0.0,13.0659,47.68845,6.03894,4.83612,6.60487,49.90305,5.30933
062-44-2842,5.54173,8.62272,6.55653,1.0,19.92857,61.72664,7.17881,5.83979,7.43049,44.55293,4.76177
062-47-4764,4.7078,5.79961,7.45353,0.0,13.40111,39.68249,5.98665,4.77594,7.01008,55.8598,4.34275
062-80-2024,7.12685,3.58813,5.25477,1.0,14.20836,15.54398,5.5861,7.13882,6.52562,33.36872,2.26577
063-41-5013,4.20214,5.29547,7.71356,0.0,14.32033,27.35018,7.30788,7.14958,7.20356,66.75755,3.62473
063-43-6891,6.08278,6.75643,7.73802,1.0,12.19409,45.31406,3.84287,4.72488,5.45201,49.2721,4.41624
064-02-7988,5.71943,4.07231,7.67725,0.0,14.57765,47.5082,9.2146,8.45907,4.48587,35.07348,5.79102
064-36-3916,6.44619,4.91724,5.46854,0.0,13.18846,87.95368,5.69691,5.97978,6.11285,43.68853,3.80053
064-73-5365,8.21389,7.57688,6.05147,1.0,13.56856,21.06367,3.0395,4.58838,6.06257,51.24438,4.55525
065-18-3295,4.89098,6.33343,7.9618,1.0,15.0126,45.29117,5.06796,4.69813,5.66769,44.08034,4.47662
066-51-0997,6.84475,3.38712,4.51387,0.0,11.46369,30.77,8.61084,7.5434,6.56757,42.86545,5.42329
067-10-9767,5.90308,7.32939,6.26899,1.0,11.16141,59.91202,4.30359,4.28047,5.44425,46.65458,5.36173
067-19-5291,6.6515,6.72895,4.76144,1.0,13.50959,60.64307,6.34463,8.08614,4.67889,34.78602,4.56424
067-73-0981,3.22743,6.59608,6.4167,1.0,15.3457,35.81026,4.84797,4.73016,6.21231,50.45537,4.36454
067-84-9429,6.89091,6.75308,6.70559,0.0,15.28059,61.47828,8.47457,4.95013,3.71989,29.92424,4.55448
068-01-4184,5.89699,7.21044,8.67174,1.0,18.94401,48.99561,5.76925,8.06622,4.34503,42.92295,4.85062
068-12-0943,6.36434,4.06846,4.52215,0.0,10.5198,66.7319,6.19984,6.236,7.34029,48.47308,5.1215
068-41-2329,6.72644,7.90817,4.34437,1.0,16.92416,47.91746,3.95616,4.32465,6.23685,34.93716,5.50065
069-21-5361,6.51059,7.72523,6.20616,1.0,13.96752,27.58321,5.49555,4.08589,6.5316,39.16542,5.13813
069-32-4129,7.04587,8.20515,5.97674,1.0,14.68075,29.92124,5.49199,3.0245,5.93661,47.10576,5.22156
069-94-1629,5.56748,5.6476,6.09281,0.0,14.44662,45.74734,7.34805,7.99017,5.83908,40.69223,5.38931
070-75-1689,5.6329,6.87504,5.90276,0.0,10.59257,48.96338,6.00243,6.02282,6.24092,35.73949,3.51442
070-76-0405,6.4692,6.40051,6.26712,1.0,7.7267,53.90899,5.52161,9.0374,5.47247,26.66334,4.40477
071-01-6581,5.75592,7.53224,6.37678,1.0,17.95821,54.17298,5.86027,7.72713,5.66527,61.19613,4.41327
071-61-7237,5.92772,3.24513,6.29826,0.0,15.94131,63.25374,8.65937,5.44698,6.03852,46.71598,3.77497
071-88-6463,7.1049,8.54565,7.90103,1.0,15.66875,36.1924,5.58689,6.73028,5.14003,44.11308,3.64491
072-13-5122,6.73936,5.70918,6.27269,0.0,11.94699,42.53455,6.43597,7.51727,8.07812,41.22595,5.62661
072-25-5548,7.59755,6.00332,6.15159,0.0,6.54555,37.56252,4.8831,6.41792,7.13673,61.01062,4.80636
072-85-7467,6.46023,5.56564,6.50798,1.0,11.10372,1.36071,4.63929,4.95295,6.09273,63.24726,3.14553
073-61-9020,7.06817,6.2692,5.27577,0.0,13.03285,21.13271,4.50118,4.92118,6.12687,50.17962,3.33614
073-90-4940,6.7673,9.48951,4.58673,1.0,11.43103,45.01699,4.7564,7.42794,4.82258,40.89736,2.23349
074-25-8211,5.96383,4.41614,6.39909,0.0,9.93513,26.03707,8.44724,3.50713,5.74617,64.6726,4.66293
074-63-9448,5.32337,7.66414,7.66668,1.0,14.57775,33.4535,7.96598,5.80881,5.13087,64.57073,4.24352
