ssn,hbver,hematokrit,hemoglobin,relationship_1,relationship_2,relationship_3,relationship_4,relationship_5,relationship_6,race_1,race_2,race_3,race_4,race_5,indicator
186-94-5839,0.8641893384190786,0.7154303783654035,-1.1547403702259886,0,0,1,0,0,0,1,0,0,0,0,0.0
575-07-5999,1.249623484866134,0.989210544713485,-0.6483185559915431,0,0,1,0,0,0,0,0,0,1,0,1.0
796-76-3971,0.016111301687344804,0.5252826237206286,0.8541752484265759,0,0,0,0,1,0,1,0,0,0,0,0.0
859-87-2619,-0.19494591596682057,-0.2570691220715271,0.02443386205564467,0,1,0,0,0,0,0,1,0,0,0,1.0
289-84-2917,0.9502230529810021,0.37252495178938666,-0.850976367480713,0,0,0,0,1,0,1,0,0,0,0,0.0
618-55-1997,-1.3907427404046504,-1.0876380251657916,1.5915148681328073,0,0,0,1,0,0,1,0,0,0,0,1.0
575-02-4767,-1.0821107790300935,-1.4892804881172421,0.2955145136165595,1,0,0,0,0,0,1,0,0,0,0,1.0
663-99-2968,-0.28930547387344596,-0.752989261724201,-1.039058753001616,0,0,0,0,0,1,0,1,0,0,0,1.0
898-69-3998,0.8982301990871621,1.6884502303893933,-2.193777697145491,1,0,0,0,0,0,0,1,0,0,0,0.0
621-46-6735,0.6338604134425604,-1.5855267238345707,-1.1029221325731007,0,0,0,0,1,0,0,1,0,0,0,1.0
153-02-9528,0.9499254703905929,-0.20686459786462416,0.947591603316571,0,0,0,0,1,0,0,1,0,0,0,0.0
008-91-0537,-0.8950930593315719,0.2425060172830238,-0.04657494068788929,0,0,1,0,0,0,1,0,0,0,0,0.0
581-48-2554,0.965063367380961,0.19274661310842517,0.6524330409455991,0,0,0,0,0,1,0,1,0,0,0,1.0
719-45-2736,-0.892958227704725,-1.6260890704402973,-0.5441747865731207,0,0,1,0,0,0,1,0,0,0,0,1.0
120-68-7290,-0.4370811067584761,-0.42109271932741993,0.4442877919208385,0,1,0,0,0,0,1,0,0,0,0,0.0
796-93-6238,-0.7328393865044721,-1.352766562716979,-0.007507107500450699,0,0,0,0,0,1,1,0,0,0,0,1.0
836-73-9133,-0.36450976981918304,-0.8367658672407895,0.7167232899533366,0,0,0,0,1,0,0,0,0,0,1,0.0
475-16-5323,-0.6747525586939971,-0.8183968292879642,1.1209067809485727,0,0,0,1,0,0,0,1,0,0,0,0.0
027-51-8979,-0.7670743227749962,-2.311805884148887,0.614441661119145,0,0,1,0,0,0,1,0,0,0,0,1.0
720-47-0567,-1.8169909860449662,0.9987022592051494,0.5734127031303735,0,0,0,0,0,1,1,0,0,0,0,0.0
827-96-5075,-0.7694614526850155,-0.5815240098437336,-0.06539431496440379,0,1,0,0,0,0,1,0,0,0,0,1.0
587-56-2293,0.5453295927959013,-0.4978602516592788,1.794859382628122,0,1,0,0,0,0,0,0,0,0,1,1.0
876-61-6530,-0.5537787665060154,-1.2567585602563764,0.514739808443174,0,0,1,0,0,0,0,0,0,1,0,1.0
022-53-0024,0.9959084497955221,-0.7644683431206597,0.5046867238937538,0,0,0,0,1,0,1,0,0,0,0,1.0
183-63-7143,-0.15221693749614545,-0.10569069531080406,2.3120581034995458,0,0,0,0,1,0,0,0,0,1,0,1.0
210-70-3610,-1.469822079212452,-1.7149061901255107,1.1750202151355122,0,1,0,0,0,0,1,0,0,0,0,1.0
015-61-3081,0.6827998111913349,0.8022037074797567,-0.3826758498576685,0,0,0,0,1,0,0,0,0,0,1,1.0
341-53-2869,-1.163156750609293,-0.18496594613451534,0.012060834917897214,0,0,1,0,0,0,1,0,0,0,0,0.0
811-45-1798,0.24563157832036067,0.2628248063632647,-2.2543189189304904,0,1,0,0,0,0,1,0,0,0,0,0.0
601-69-4291,-0.3485955704190526,0.2233783944864126,-0.45599840867596164,0,0,1,0,0,0,0,0,0,1,0,1.0
656-70-9843,1.0352411052234858,0.5768852009867398,-0.8931312709390193,0,0,1,0,0,0,1,0,0,0,0,0.0
716-79-1603,1.0474872757374885,1.4841275969694177,-0.9682417321787169,1,0,0,0,0,0,0,1,0,0,0,1.0
715-64-6372,0.9031985345096415,0.1725218634716285,0.4047250376478901,0,1,0,0,0,0,0,1,0,0,0,1.0
260-43-2139,-0.1428560242717604,-1.0853873478193534,-0.8688986972897408,0,1,0,0,0,0,1,0,0,0,0,1.0
643-53-2066,-1.8294829856553936,-1.8900327110040847,2.1863110286986154,0,0,1,0,0,0,0,0,0,1,0,1.0
319-28-7276,0.8183486811226063,-0.6135475749846998,0.6326176379844962,0,0,1,0,0,0,0,0,0,1,0,1.0
002-93-3306,-0.2722397592321684,1.2004231346898273,-1.0276817545484573,0,0,1,0,0,0,1,0,0,0,0,0.0
633-60-9399,1.1257256202680472,0.25107614522893196,0.10894163740646191,0,0,1,0,0,0,0,1,0,0,0,1.0
639-73-8892,-0.15935891966596022,-0.12062415892979016,-1.4428215610741686,0,0,1,0,0,0,1,0,0,0,0,0.0
392-89-1210,-1.7748507035683614,-1.5573838530597472,1.5779478438762662,0,0,1,0,0,0,1,0,0,0,0,1.0
228-66-2047,1.1691273941605163,0.2832752506643285,0.4115302025736514,0,1,0,0,0,0,0,1,0,0,0,1.0
259-93-4834,1.3177440213227882,-0.23118319793937164,0.6578957324269151,0,0,1,0,0,0,1,0,0,0,0,1.0
438-22-6177,-1.2536218580936105,-0.12836047047715754,0.002298516506214046,0,0,1,0,0,0,1,0,0,0,0,1.0
045-19-6805,1.533355546447561,0.29759432325281043,-0.1975815503905313,0,0,1,0,0,0,0,1,0,0,0,1.0
882-43-8041,-1.9536137409764092,-0.4824816680079883,0.011633965481645143,0,1,0,0,0,0,1,0,0,0,0,1.0
703-75-0178,-0.9551659274736892,0.4915851564863502,-0.20471460053544316,0,0,1,0,0,0,1,0,0,0,0,0.0
655-41-5667,1.0995254139385646,-1.1264324302347615,-0.5678443874876321,0,0,1,0,0,0,0,1,0,0,0,1.0
354-56-2407,1.2855015945706554,0.43152529860646444,-0.34576710990576703,0,0,1,0,0,0,1,0,0,0,0,1.0
157-37-8758,1.121889392526471,0.8439446817766545,-1.7766334602234644,0,0,1,0,0,0,1,0,0,0,0,0.0
063-43-6891,-0.8092016668781052,-1.5978396216295703,-0.01139223802170366,0,0,0,0,1,0,0,1,0,0,0,1.0
184-39-3007,0.9280984343027722,-0.15993891558581994,0.5824388264273606,0,0,0,1,0,0,0,1,0,0,0,1.0
574-58-0526,-1.2618959479443284,-1.0785475456328235,1.3080611894341445,0,1,0,0,0,0,1,0,0,0,0,1.0
171-38-6644,-1.6910553276212532,-1.5999899902363344,0.18520897668353903,0,0,0,0,1,0,0,1,0,0,0,1.0
323-41-9017,0.12157845324032132,1.1079196688215889,0.0666939362446222,0,0,1,0,0,0,0,1,0,0,0,1.0
130-46-1827,0.09700848197133978,-1.1416103964067035,-0.4056773073067411,0,1,0,0,0,0,0,1,0,0,0,1.0
386-56-5453,1.5231018854519485,0.5685282291126388,-0.3539889864388001,0,0,1,0,0,0,1,0,0,0,0,0.0
485-77-2175,0.040551889221366245,0.5589424751775295,0.6616200135953768,1,0,0,0,0,0,0,0,0,1,0,0.0
044-61-8051,-2.699504503836413,-1.0680590130406473,2.599000975851053,1,0,0,0,0,0,0,1,0,0,0,1.0
880-05-4840,0.02267105704983737,-0.7492778383562584,1.6535655992286113,0,0,0,0,1,0,1,0,0,0,0,0.0
613-57-4075,0.48412461697288073,-0.20515307999393448,0.9242375145940728,0,0,0,0,1,0,0,0,0,1,0,1.0
719-36-4044,-0.2718451388405392,0.7017946590659513,-0.8204892286133024,0,0,0,0,0,1,0,0,0,1,0,0.0
330-08-3572,-0.6190722683537859,-1.596529338717577,-0.28289357250530195,0,0,0,0,1,0,1,0,0,0,0,1.0
614-75-5901,0.2852165320314974,1.501756857967147,-0.45982167406152546,0,0,0,0,0,1,1,0,0,0,0,1.0
347-78-5308,2.1389555254899935,2.67964477218309,-3.080144242212324,0,0,0,0,1,0,0,1,0,0,0,0.0
006-23-8172,0.9789785880759524,0.6827046520467182,0.2408381066948524,0,1,0,0,0,0,0,0,0,1,0,1.0
077-65-0886,0.4495403446179635,1.0713822103952868,-2.24553406966269,0,0,1,0,0,0,1,0,0,0,0,0.0
445-21-7457,-0.36073176475833907,0.2713197027544179,0.805994680752186,0,0,1,0,0,0,1,0,0,0,0,0.0
516-39-3884,0.6903364137527783,0.24394168611960945,-0.5263390679540573,1,0,0,0,0,0,1,0,0,0,0,0.0
544-12-1581,0.8622615207681685,0.9786154340854051,-1.839674033490289,0,0,0,0,1,0,0,1,0,0,0,1.0
340-68-4155,0.52651072854591,0.058082130095904,-0.919195052604685,0,0,0,1,0,0,1,0,0,0,0,0.0
584-92-3113,0.16696626746443272,0.22841263935880848,0.7523637946236191,0,0,0,0,0,1,0,1,0,0,0,1.0
838-18-2929,-0.934781520030677,-0.20841938332957335,0.20292096503122473,0,1,0,0,0,0,1,0,0,0,0,0.0
736-53-4407,-1.0748652898723108,-0.43373162052636083,1.002063855290506,0,0,1,0,0,0,1,0,0,0,0,0.0
766-86-4511,0.11635135034792107,-0.5993350804321216,2.1634023689530757,0,0,0,0,0,1,1,0,0,0,0,1.0
406-20-7511,1.5876190848899554,0.19774951149967238,-0.470388239237162,0,0,1,0,0,0,0,1,0,0,0,1.0
628-14-3042,1.078287073844814,0.8270050433641855,0.144353241074696,1,0,0,0,0,0,1,0,0,0,0,1.0
675-50-2974,0.8237827979909434,0.13508162638825882,-1.0108791836953956,0,0,1,0,0,0,0,0,1,0,0,0.0
262-42-2850,-0.5046258855945568,1.7461465635907083,0.6663836290434101,0,1,0,0,0,0,1,0,0,0,0,1.0
585-19-6528,-0.6866817390573466,-0.5772358112226642,0.06760954025281549,0,0,0,0,1,0,0,1,0,0,0,0.0
771-02-7418,0.8150752726281077,0.2152784637577269,0.3991138698409213,0,0,0,1,0,0,0,0,0,1,0,1.0
233-97-0920,-1.1243222225609264,0.5539270381938229,-0.9232410324787287,0,1,0,0,0,0,0,1,0,0,0,0.0
673-64-2019,-0.020012637113601014,0.024810975005240682,0.7974201729457272,0,0,0,0,1,0,0,0,0,1,0,0.0
654-03-5454,-1.4622013772232838,0.29624642456343964,-0.24622610658258673,0,1,0,0,0,0,0,0,1,0,0,1.0
342-70-7340,-2.1630924770640574,0.9315894430669266,0.5051383393842815,0,1,0,0,0,0,1,0,0,0,0,0.0
122-89-9380,-0.16003171508775416,-1.3202414538776421,-0.07993880836482618,1,0,0,0,0,0,0,1,0,0,0,1.0
387-12-2322,-0.5267828502065268,2.26380862256775,-1.3746152489773344,0,0,0,1,0,0,0,1,0,0,0,0.0
450-96-4869,0.4627051396501848,-0.05158039955283991,-1.7776047428537776,0,0,1,0,0,0,1,0,0,0,0,1.0
780-69-8341,0.05971362036900235,0.250173366571865,0.8183800809170718,0,0,0,0,0,1,1,0,0,0,0,1.0
230-75-6335,1.2964086434278173,1.1435668871832836,-1.068030196044652,0,0,0,0,0,1,0,1,0,0,0,0.0
237-34-5035,0.6411576560943275,0.12977780177798948,0.5991547860904578,0,0,0,0,0,1,0,0,0,0,1,1.0
898-69-7843,0.9332349685807001,0.4444149716545901,-1.5329157581776784,0,1,0,0,0,0,1,0,0,0,0,0.0
200-57-6820,-1.2261342836012712,1.6915660706155211,0.5024966980903725,0,0,0,0,0,1,0,0,1,0,0,0.0
800-16-6359,-1.3060352091260714,0.34095904527318305,0.2603627435182187,0,0,1,0,0,0,1,0,0,0,0,0.0
020-05-5103,-1.6377427596308172,-1.1783610109048135,1.8577824121371376,0,0,1,0,0,0,1,0,0,0,0,1.0
868-98-9551,-1.8401377362293831,-0.13773306834045904,1.3671609535575966,0,0,1,0,0,0,1,0,0,0,0,0.0
767-91-9470,0.1898413118054327,1.7376328593108659,-0.035872272213737726,0,1,0,0,0,0,1,0,0,0,0,1.0
492-94-1057,0.5623500231299433,0.2807738014687049,-1.735988066075963,1,0,0,0,0,0,1,0,0,0,0,0.0
482-65-1828,1.0160987816360936,0.1468428261150509,0.4089627994425687,0,1,0,0,0,0,1,0,0,0,0,1.0
557-39-5498,-1.7291523683803454,-1.039840910711068,2.1374994366402,1,0,0,0,0,0,1,0,0,0,0,1.0
694-66-6839,2.236478515716401,-0.07051367416633202,-0.7812172404780916,1,0,0,0,0,0,0,0,0,1,0,1.0
611-79-9881,0.9328791633095593,0.6215037822530389,-0.8641660144095523,0,1,0,0,0,0,0,0,0,1,0,1.0
375-31-7664,1.140869986445163,-0.019136791564488026,0.5778484333592563,1,0,0,0,0,0,1,0,0,0,0,1.0
736-25-4282,0.9583160056027755,-1.1840848783624685,-1.609436744511079,0,1,0,0,0,0,1,0,0,0,0,1.0
220-81-8533,-2.7171136301645245,-0.5715495595423873,2.87880461154408,1,0,0,0,0,0,1,0,0,0,0,1.0
660-80-8151,0.8356925707940491,-1.0354273261654063,1.3519792492595801,0,1,0,0,0,0,0,1,0,0,0,1.0
381-35-0581,-0.283263253450795,-0.030434063370286993,0.7886971888136146,0,0,0,0,0,1,0,1,0,0,0,0.0
447-55-2608,0.7188655273115485,0.6060311591583042,0.37479468500167845,0,1,0,0,0,0,1,0,0,0,0,1.0
436-01-9216,0.41309294647961625,-0.2591630670122244,-0.18449088767879418,0,0,0,1,0,0,0,0,0,1,0,1.0
567-11-7446,1.1127419624647705,0.3101391850083065,-0.11869112936025206,0,0,0,1,0,0,0,1,0,0,0,0.0
592-24-9818,-0.0007685236289436044,-0.933751879913215,0.2961640975412914,0,1,0,0,0,0,1,0,0,0,0,1.0
205-49-4441,-1.1514928069026118,-0.7488703341013321,1.4144135441966552,1,0,0,0,0,0,1,0,0,0,0,1.0
530-71-5625,-0.09048795754653494,0.8893281171829689,1.0852105976561703,0,0,0,0,1,0,0,1,0,0,0,1.0
523-02-5609,0.8539162698632221,0.6590129815949342,-0.2385177106757694,0,0,0,0,1,0,1,0,0,0,0,1.0
444-60-7124,1.3705067084396434,0.38521400735816386,-0.4678084630789414,0,0,1,0,0,0,0,1,0,0,0,1.0
111-69-0968,-2.5528674478190343,-0.6721968412129181,1.9832943994224506,1,0,0,0,0,0,0,1,0,0,0,1.0
052-50-6101,1.3835874040441407,0.6558720641838882,-0.8821440228406994,0,0,1,0,0,0,0,1,0,0,0,1.0
310-10-6450,-0.2996755802305225,1.6236946696335124,-1.521272739641058,0,0,0,0,1,0,1,0,0,0,0,0.0
229-23-4371,0.8777616922164253,0.15716208770902682,0.2122997196016374,0,0,1,0,0,0,1,0,0,0,0,1.0
705-61-7173,0.5042179110122321,0.16344392253111978,-0.35663681424627847,0,0,0,0,1,0,0,0,0,1,0,0.0
272-65-3340,0.8020851456380828,-0.2752751583223815,-0.1283977691498147,0,0,0,0,1,0,0,1,0,0,0,1.0
401-65-2912,0.38993972710845154,1.0514082326076755,0.2643282987158667,1,0,0,0,0,0,0,0,0,0,1,1.0
257-30-1428,0.3410973671608976,0.13709407047797117,0.940297703818869,0,0,0,0,1,0,1,0,0,0,0,1.0
397-94-2088,0.9764750128044685,1.121856314340064,-0.8011006950884517,0,0,0,0,0,1,1,0,0,0,0,1.0
279-57-6792,0.3906448684639855,1.0519912771570314,0.6784411439891449,1,0,0,0,0,0,1,0,0,0,0,1.0
580-92-8216,-0.35732897252888046,-0.25251761300881315,-1.0224541505827585,0,1,0,0,0,0,0,0,0,1,0,0.0
658-82-6818,1.5843586147689535,0.18457145082498339,-0.450028423081998,0,1,0,0,0,0,0,0,0,0,1,1.0
772-50-6667,0.634882544948748,1.3607854629476142,-0.22168420725486407,0,1,0,0,0,0,1,0,0,0,0,1.0
734-94-6589,1.436919379594821,0.23881340180376986,0.19373399238144703,0,0,0,1,0,0,1,0,0,0,0,1.0
732-14-1731,1.4519343620369756,-1.2195941722071109,1.1582423903367263,0,1,0,0,0,0,1,0,0,0,0,1.0
863-91-4775,-0.5962813234405098,-0.9314385096044805,-0.246102376311209,0,1,0,0,0,0,1,0,0,0,0,1.0
580-48-4821,1.2277058801638405,0.8468975203008113,-0.13595150221741,0,0,0,0,0,1,1,0,0,0,0,1.0
339-82-8244,1.7823804211258572,-0.9214640593031342,0.6097708433746452,0,0,1,0,0,0,0,0,1,0,0,1.0
103-70-0378,-1.3529238746757233,-0.3653398679572923,1.1368432399019919,0,1,0,0,0,0,0,1,0,0,0,1.0
693-05-6528,0.6128032105777542,0.34300910514027344,-1.6841265228280933,0,1,0,0,0,0,1,0,0,0,0,0.0
307-71-1858,1.0940007284557554,0.8737426467561011,-0.9437926305545277,0,1,0,0,0,0,1,0,0,0,0,0.0
247-76-7447,-0.9726003857596044,-1.032907069081094,0.14081455531330006,0,0,0,0,1,0,0,1,0,0,0,0.0
108-18-8181,-0.9080896555083446,-0.8345528056717292,0.6883086331314987,0,0,0,0,1,0,0,0,0,1,0,1.0
715-78-8813,1.0634596978183513,0.04087918124179086,-1.0513822880308126,1,0,0,0,0,0,0,0,0,0,1,0.0
696-38-1340,-1.3074002075299038,0.7539552036964993,-0.09182928744420162,0,0,0,0,1,0,0,1,0,0,0,0.0
598-63-6005,1.168713366208643,0.8068179095047668,-1.6791154468373057,0,0,0,0,0,1,0,0,0,1,0,0.0
798-11-2745,0.3550837489101174,0.47783658985476507,0.0963953878887854,0,0,0,0,1,0,0,0,0,0,1,1.0
694-12-5708,-0.2938921272777923,0.5425169190558904,0.7332350946686611,0,1,0,0,0,0,1,0,0,0,0,0.0
223-69-7468,-1.864798276112837,-1.150982994270005,2.144453077891615,0,1,0,0,0,0,1,0,0,0,0,1.0
027-57-6440,0.3120119035417976,-0.24953969729973763,-0.5903447373376263,0,0,1,0,0,0,1,0,0,0,0,0.0
141-53-8581,0.2624644022387097,0.5734120108755231,0.593735400204124,0,1,0,0,0,0,1,0,0,0,0,0.0
440-43-8618,-0.9953977998596282,2.4239891412348777,-1.2102828890473376,0,0,0,0,0,1,1,0,0,0,0,0.0
379-35-8293,1.4282571385392209,1.3657883613388626,-1.0782503164604322,0,0,0,0,1,0,0,1,0,0,0,0.0
635-65-1824,0.6304576212131018,0.0846827539982379,0.733080431829439,0,1,0,0,0,0,0,0,0,1,0,1.0
124-04-7482,0.5920371211166089,-0.1290375544699579,0.7885920180829444,0,0,1,0,0,0,1,0,0,0,0,1.0
657-33-2414,0.6072914634684409,-0.13396522130644958,-1.580675642929385,0,0,0,0,0,1,1,0,0,0,0,1.0
474-14-3926,-0.8474086838119135,-0.6948728856755015,-0.15422027678629469,1,0,0,0,0,0,1,0,0,0,0,1.0
343-46-1159,-0.8491230183001389,0.11327701410159484,-0.17810640567571628,0,0,0,0,0,1,0,1,0,0,0,0.0
180-45-7264,1.1893047876275915,0.17476627152183688,0.13386091406188588,0,0,0,1,0,0,1,0,0,0,0,1.0
336-60-7414,0.5731859109328775,-0.2761967448681377,1.0492607673074448,0,1,0,0,0,0,1,0,0,0,0,1.0
692-22-2203,1.4993535008999648,-0.2734946781931657,0.3167590012120725,0,1,0,0,0,0,1,0,0,0,0,1.0
567-69-2492,0.6188066158799174,-0.6675951777803678,0.012797030032593356,0,0,1,0,0,0,1,0,0,0,0,0.0
690-60-5401,0.41573237467280866,-0.9186742224809472,2.2003667875270967,0,0,0,0,1,0,1,0,0,0,0,1.0
149-56-4432,0.6292672908514663,0.06838258380119117,0.7846697684802785,1,0,0,0,0,0,1,0,0,0,0,1.0
559-39-9995,0.10050831200201904,-1.2632033967804392,-0.8973628462201293,1,0,0,0,0,0,1,0,0,0,0,1.0
080-81-9622,0.20726283171785173,1.2767706241742998,0.04448435253236516,0,0,0,0,1,0,1,0,0,0,0,1.0
088-81-2791,-0.8317597210684522,-0.18249584342003983,1.8799548767679817,0,0,0,0,1,0,1,0,0,0,0,0.0
435-96-3974,1.5192656577103716,0.4965128233228419,-0.6554516061364544,1,0,0,0,0,0,1,0,0,0,0,1.0
136-30-7671,1.5311172078327457,0.7841355957459535,-1.0181545236523912,0,0,0,0,1,0,0,1,0,0,0,0.0
445-96-1160,-0.6513341026661632,-1.8723407570440596,-0.38902321277933294,0,0,0,1,0,0,1,0,0,0,0,1.0
155-10-7987,0.3413367270705745,0.18791925501160772,0.6500141141401697,0,0,1,0,0,0,1,0,0,0,0,0.0
668-65-5734,0.371411976262121,-0.7491900682090435,1.8508844495078438,0,0,1,0,0,0,1,0,0,0,0,1.0
483-18-8050,1.2559180035719575,1.8089022188493362,-1.3501104687310248,0,0,1,0,0,0,0,1,0,0,0,1.0
322-21-8389,-1.638007996287486,0.8180901041256471,1.6883832975942341,1,0,0,0,0,0,1,0,0,0,0,0.0
395-64-7085,0.861038844472793,1.14721561758893,-1.904415897988554,0,0,1,0,0,0,0,1,0,0,0,0.0
212-05-0678,-0.4847525439046384,-0.6929043266593966,0.2878617963318627,0,0,0,0,0,1,0,0,0,1,0,1.0
043-66-3774,0.7412165675259591,0.28024718058541565,0.30334045328118536,0,0,1,0,0,0,1,0,0,0,0,0.0
374-12-6563,-0.057119892300246056,-0.4323335674671527,-1.2026425447897786,0,1,0,0,0,0,0,1,0,0,0,0.0
552-77-1715,-0.22274401142306388,-1.562054478750824,0.9254500712535713,0,1,0,0,0,0,0,0,0,1,0,1.0
467-36-7184,0.9434368760823287,0.68130659898751,-1.359625326599953,0,1,0,0,0,0,0,0,1,0,0,0.0
278-70-9509,0.8347933538360739,0.3721111782382304,-1.1873556697610916,0,1,0,0,0,0,1,0,0,0,0,0.0
400-75-4848,1.3175305381601035,0.4691786917616414,-0.9124950584095944,0,0,1,0,0,0,1,0,0,0,0,1.0
165-92-1202,-1.1705575002490285,-2.4727199104748823,1.2223346709102596,0,0,0,0,0,1,1,0,0,0,0,1.0
473-86-2327,1.9160014734062185,0.8640189683039401,-0.2171866118902927,0,1,0,0,0,0,1,0,0,0,0,0.0
202-88-2468,1.3990228836249168,0.6567372270635777,-0.8380774866896109,1,0,0,0,0,0,1,0,0,0,0,1.0
815-40-0942,-0.5427164571669011,-0.32231368793331927,0.02164993094965188,0,0,1,0,0,0,1,0,0,0,0,1.0
133-36-0087,-0.5278114508994621,-0.9891975357680911,-0.27023596574338604,0,1,0,0,0,0,1,0,0,0,0,1.0
517-15-2247,0.9235635343924098,-0.0072000515432661845,1.0467490427984814,0,0,0,1,0,0,1,0,0,0,0,1.0
682-26-4346,-1.6507522941810862,1.3118598751715569,-0.7350596627407233,1,0,0,0,0,0,1,0,0,0,0,0.0
878-65-4674,0.6227463506094615,0.41659810428370775,0.8806287804470802,0,0,0,0,0,1,0,1,0,0,0,1.0
205-64-5669,-1.5088894979837468,-2.176752704770129,2.1531822485372962,0,0,0,1,0,0,0,0,0,1,0,1.0
886-11-1169,1.0451713068816975,1.0557403163023529,-1.4128973949415256,0,0,1,0,0,0,1,0,0,0,0,0.0
415-87-0714,-0.28162008001679795,1.36410818994932,0.48398664949230197,0,1,0,0,0,0,1,0,0,0,0,1.0
823-60-9377,0.8885264189651316,0.956622742911852,-0.7027289428297888,0,0,1,0,0,0,1,0,0,0,0,1.0
478-21-6913,-0.43023023799232213,0.4619251160239559,1.5221702375393,1,0,0,0,0,0,1,0,0,0,0,0.0
601-46-5141,1.2251246746513804,0.4826263321742044,-0.34265529358062313,0,1,0,0,0,0,0,0,0,1,0,1.0
345-87-8885,1.4034025230533262,0.6895005691596405,-1.3820761843413965,0,0,0,0,0,1,1,0,0,0,0,0.0
512-70-4284,-0.09461529869177199,-0.6014227560765895,-1.367655421212351,0,0,0,0,1,0,0,0,0,1,0,0.0
596-35-1633,0.8714024816431212,-1.1282944112149629,-1.5860393501935983,0,0,1,0,0,0,1,0,0,0,0,1.0
779-56-1025,1.3686953361501972,-0.45579327395843955,0.10587312667630015,1,0,0,0,0,0,0,1,0,0,0,1.0
810-50-0804,0.35573713677166746,-1.5749190746140311,1.5304601657215915,0,0,1,0,0,0,0,0,0,1,0,0.0
040-19-2579,1.4539204023686185,1.397987466774258,-1.4439908121386855,0,0,0,0,1,0,0,1,0,0,0,0.0
884-70-0520,-1.5629848375706936,-0.8834721241515571,1.0631556767831347,0,0,1,0,0,0,1,0,0,0,0,1.0
891-96-1795,1.007339502779274,-0.15106786142088904,1.3861782962683147,1,0,0,0,0,0,1,0,0,0,0,1.0
604-25-9400,-0.17082231858345218,-0.8466964324685283,0.027545678380788554,0,0,0,0,0,1,0,0,0,1,0,1.0
490-42-5979,-0.8519047686017874,-0.3865677049908301,0.2075855962621554,0,0,0,1,0,0,0,1,0,0,0,1.0
638-50-5535,-0.04550123290080115,0.49473861248985607,0.2547453891976807,0,1,0,0,0,0,1,0,0,0,0,0.0
194-87-4332,-1.038890142366569,-0.964226928885462,0.9776642457748669,0,1,0,0,0,0,0,1,0,0,0,1.0
811-85-4814,1.1918407088328156,-0.04876548554573427,0.27146753537434726,0,1,0,0,0,0,0,0,0,1,0,0.0
471-17-9543,-0.5597304183141948,-0.6676390628539752,-0.3394630525790842,0,1,0,0,0,0,1,0,0,0,0,1.0
171-66-3251,-0.18738990584513265,-0.9025307846896421,0.05143799378377933,0,0,0,0,0,1,1,0,0,0,0,1.0
546-38-9340,-1.4285098526395936,-1.2837416112287174,0.7764169593794,0,0,0,0,1,0,1,0,0,0,0,1.0
157-32-2908,0.1873571440941927,1.8245879980158781,-0.8315012227658981,0,0,1,0,0,0,0,0,0,1,0,1.0
530-44-4596,0.83660472612552,0.5116594430136358,-0.31079474870092283,0,0,0,0,1,0,0,1,0,0,0,1.0
