	leukocyty	ssn	name	smoker	hemoglobin	trombocyty	indicator	alt	relationship	weight	ast	alp	hematokrit	hbver	etytr	er-cv	erytrocyty
40	7.02188	160-44-3958	Henry Vega	no	6.09404	6.40900	1.00000	17.94476	divoced	34.40253	72.79650	83.40676	7.24280	7.33146	5.52793	27.92571	6.09318
41	6.86349	396-11-1113	Donna Lin	no	7.84891	4.72189	1.00000	17.04858	nop	137.39177	48.87991	53.56545	6.45778	7.50700	6.94782	48.56713	3.36232
42	5.60553	171-38-6644	Linda Bush	no	7.07422	6.24209	1.00000	12.99393	single	76.53644	40.34226	79.32075	3.83944	3.36172	5.85049	65.69822	3.95613
43	4.71740	187-45-5967	Jorge Hill	Y	8.53164	8.25646	1.00000	13.43474	divoced	32.99907	40.08860	27.49998	6.47603	6.64027	6.01343	58.74477	3.04485
44	7.77408	465-22-3450	Stacey Campbell	no	7.79841	6.44569	0.00000	19.21726	single	15.27092	46.30290	47.90739	6.26341	4.02151	6.14467	40.53380	5.19948
45	4.03812	220-68-3957	Amanda Johnson	yes	7.95712	6.87883	1.00000	12.58024	married	136.59424	28.30117	48.16385	4.58652	3.22136	4.12301	58.10522	4.32198
46	5.78418	898-94-5893	Mark Johnson	no	9.06487	5.18321	1.00000	15.55221	separated	48.98956	56.64453	16.87267	6.57521	5.45637	4.93360	56.71153	3.64965
47	6.12655	836-73-9133	Katelyn Russell	no	7.93337	4.82305	0.00000	11.36912	single	52.16222	37.64096	43.11328	5.05684	5.41228	4.67169	33.38445	4.54652
48	5.47330	033-03-9459	Ricardo Owens	no	6.35718	6.39684	0.00000	14.11556	single	137.46240	47.86561	87.76196	6.78527	5.14683	6.10524	40.08916	4.09725
49	7.84312	293-19-2518	Patricia Miller	Y	6.89166	6.60324	0.00000	12.54238	married	38.23242	38.89168	82.99708	6.17306	6.61202	7.30783	61.96149	3.72283
50	5.97587	477-77-2469	John Scott	no	6.93071	5.41671	0.00000	15.59359	married	13.82566	54.75094	79.60579	5.93878	5.25319	5.78674	29.58318	3.88335
51	6.02409	371-17-7232	Samuel Obrien	no	7.13156	6.83276	1.00000	17.56629	divoced	59.97629	49.78877	76.26957	8.42009	5.32532	8.20143	54.40026	3.10789
52	7.49054	512-55-5588	Jessica Schmidt	N	8.02560	6.56632	1.00000	21.45996	divoced	91.31854	33.95654	44.53903	6.29511	7.20636	7.31646	55.25848	5.18579
53	8.05070	243-95-2748	Cheyenne Schroeder	Y	5.11531	7.18476	0.00000	14.17656	married	108.64786	47.81460	59.28639	7.47204	7.59694	6.20763	36.93040	4.86578
54	5.93625	853-34-6159	Bryce Lopez	yes	9.48964	5.64065	1.00000	9.04450	nop	100.68175	36.01927	6.58842	5.77434	6.71141	6.51558	61.75494	1.33572
55	4.90055	642-41-9475	John Martin	no	7.40580	6.00671	1.00000	8.60912	divoced	78.81023	61.52424		6.98466	7.14187	5.51618	35.00597	3.82734
56	5.38787	842-12-1004	Mr. Connor Davis MD	no	7.37468	6.89742	1.00000	12.24030	divoced	92.96834	39.67579	69.10694	5.22733	4.81096	6.68423	42.77855	5.34492
57	5.92772	071-61-7237	Eric Mcdowell	no	3.24513	6.29826	0.00000	15.94131	widowed	33.47917	63.25374	15.40188	8.65937	5.44698	6.03852	46.71598	3.77497
58	5.17552	868-31-7809	Patricia Singleton	no	6.50860	6.32609	1.00000	14.24673	single	47.97375	61.39723	90.08995	4.32123	5.25921	5.89117	49.01213	3.82248
59	6.95579	229-64-9537	Samantha Dominguez	yes	5.43292	7.53647	0.00000	17.61575	divoced	67.12717	31.84201	71.80563	7.30212	6.14360	7.34595	47.12727	3.76314
60	5.33914	681-05-8045	Sheila Cox	Y	5.34043	4.97726	1.00000	13.20379	married	86.01093	53.80644	70.96563	7.00585	7.62175	5.01952	71.69220	3.65129
61	6.65789	286-78-9730	Robert Cook	no	8.99547	8.01120	0.00000	18.08282	separated	107.10252	35.96923	16.48221	7.46807	4.62463	5.91219	63.38876	5.44577
62	6.79884	037-13-8748	Peter Garza	no	6.28362	3.79588	0.00000	13.79815	married	4.42830	59.69994	91.29345	7.05965	6.16440	7.04114	73.45192	3.87319
63	4.57913	241-40-3821	Jane Campos	Y	7.63803	4.36177	1.00000	14.20000	divoced	46.28314	36.96779	57.21624	4.48947	2.71325	5.97311	46.39010	4.89572
64	5.80247	249-36-6326	Tina Miller	Y	7.45335	7.15537	1.00000	20.60633	married	80.86946	34.86274	63.41882	5.29886	8.52343	5.17338	62.91809	6.80973
65	5.89792	219-60-7685	Sarah Dorsey	Y	1.85711	4.92194	0.00000	15.16942	divoced	123.29151	64.00146	44.20195	9.60937	7.66414	6.75367	53.52394	6.37315
66	3.42587	452-80-1342	Emma Grant	Y	7.59512	6.00176	1.00000	10.83086	nop	26.09474	64.06098	60.08486	6.47191	3.22981	5.57657	38.50909	4.59390
67	6.46920	755-97-2972	Christopher Lopez	Y	6.26120	5.55270	0.00000	14.48258	married	77.25848	40.87032	91.04232	5.56614	4.60410	5.99562	57.98494	4.51037
68	6.24700	211-36-2535	Seth Gonzales	Y	5.27916	7.31002	0.00000	10.41258	single	101.35806	49.42756	75.69152	7.82444	5.55789	5.15334	46.61489	2.78665
69	5.63183	238-69-9153	Richard Christensen	no	7.27642	5.50420	0.00000	15.29907	divoced	96.78502	54.03292	71.51682	7.76414	3.36935	7.23503	30.99741	6.22477
70	6.88116	724-10-8793	Larry Obrien	no	7.54306	6.62823	0.00000	15.21191	married	57.85116	38.43996	62.08556	6.43996	4.30431	5.55421	46.84064	4.35678
71	5.27848	311-59-4786	Michelle Wells MD	no	9.20462	6.23560	1.00000	12.24658	single	136.17708	54.35301	14.07697	5.77885	7.01006	5.87673	49.97838	5.08948
72	4.67821	374-53-2289	Christopher Howell	Y	7.35797	5.72117	1.00000	24.31344	married	-3.51580	36.92016	67.64065	7.38826	6.85139	6.77051	29.94888	4.72359
73	5.99752	005-54-8884	Mrs. Lindsey Hill	yes	7.77175	5.86722	1.00000	16.31560	separated	19.20024	60.27132	50.72413	5.86070	6.89072	5.79744	35.89347	4.69258
74	7.14179	116-76-9768	Christina Russell	yes	6.92319	7.18174	1.00000	13.31331	divoced	27.76304	47.71374	75.37433	7.67210	7.12529	3.70974	44.10927	3.68974
75	3.59655	328-90-6339	Toni Walker	Y	3.34760	6.22169	0.00000	22.59187	separated	68.46762	49.77627	6.08221	7.53337	7.35368	5.74874	36.87366	6.96277
76	7.27613	881-67-8493	Brenda Robbins	no	5.97227	6.93838	1.00000	19.00615	married	63.21455	26.55125	83.12661	4.69829	6.68353	4.65494	50.76339	4.76080
77	4.57602	432-93-7517	Brenda Berger	yes	10.07512	4.86532	1.00000	12.67846	single	57.59359	46.65743	21.74479	4.96511	6.56346	7.20738	54.71056	2.93631
78	7.62850	372-15-3555	Michael Hubbard	no	7.22457	4.70629	1.00000	11.07978	separated	70.25644	43.03663	73.00148	4.66201	5.39838	5.80640	54.78924	4.65069
79	7.00681	788-99-3856	Melissa Fox	no	5.81097	8.44789	0.00000	10.21444	married	50.17370	61.55348	85.76245	5.16274	5.36817	5.89736	56.21910	4.37899
80	5.51719	002-70-6472	Heidi Howard	Y		4.71822	0.00000	11.54368	divoced	108.15439	55.89698	31.56202	6.58267	5.87481	5.79185	57.45359	4.34386
81	4.35213	351-92-4900	Michael Brooks	no	3.90725	5.45509	0.00000	7.71677	married	71.37507	21.12707	25.49486	6.00088	3.69051	5.90318	55.86390	3.33167
82	5.74517	021-58-9713	David Hunter	yes	10.12838	6.64447	1.00000	13.84217	divoced	31.12024	34.42406	25.78411	6.29958	6.17668	6.21860	43.51317	5.65853
83	7.06528	342-48-7268	Frank Gonzales	N	5.40811	8.19355	0.00000	22.83439	single	71.25751	39.35675	68.29466	6.82794	8.09628	6.01551	46.24720	7.03552
84	6.50286	878-03-3374	Alan Smith	no	8.22604	6.93123	0.00000	10.93257	divoced	44.61186	74.00998	32.06640	4.37734	5.73731		49.46256	3.97844
85	6.66222	892-39-3940	Victor Barnett	Y	7.83957	5.13005	0.00000	14.84781	married	155.27775	48.33654	47.16764	7.05422	7.47095	2.92408	61.60572	4.59822
86	7.71159	125-48-9935	Jason Conrad	no	8.35517	6.03912	1.00000	9.87001	married	-30.18939	64.29177	33.41188	4.93114	4.24626	5.13517	49.15545	5.44430
87	4.24873	507-80-4457	Thomas Walker	no	8.09530	5.82272	1.00000	13.69815	widowed	70.37072	49.47832	39.35411	7.23276	6.65181	6.55439	55.56958	4.47906
88	4.98941	360-56-1510	Rachel Tate	N	3.19652	6.34191	0.00000	49.17217	nop	94.52810	57.70469	13.19990	8.67115	8.52734	4.03847	42.90187	8.37552
89	7.46964	077-62-2899	James Bruce	no	5.57787	4.85218	0.00000	15.40241	widowed	76.99700	32.55728	81.47416	7.04384	4.55512	5.47733	47.49563	3.19839
90	6.15879	310-10-6450	Donald Bright	no	4.31583	5.59042	0.00000	17.81895	single	120.23356	43.89566	36.74464	8.98146	5.51250	5.52542	36.87966	4.79756
91	5.49782	200-57-6820	Kristen Brown	no	7.58709	5.91626	0.00000	18.82789	widowed	89.51869	58.73704	57.64598	9.08972	4.08039	7.42234	68.35588	6.36195
92	6.84475	066-51-0997	Donald Ellis	Y	3.38712	4.51387	0.00000	11.46369	married	96.14624	30.77000	12.77323	8.61084	7.54340	6.56757	42.86545	5.42329
93	6.15184	782-36-7404	Catherine Haley	yes	5.15795	5.07304	1.00000	8.67618	separated	67.78238	62.27896	66.89227	5.88742	9.48439	4.96355	84.04450	3.75218
94	4.75073	575-20-1153	Tammy Sloan MD	no	5.45324	5.07878	1.00000	11.36133	married	80.94803	45.90047	75.49365	8.77945	6.40139	4.92376	57.54892	3.75462
95	6.23292	727-24-8075	Robert Higgins	no	8.70457	6.21387	1.00000	18.21511	married	36.15006	40.74741	24.20189		6.60668	7.57074	50.20589	5.07049
96	6.34039	577-26-1946	Todd Reed	Y	6.90464	6.87133	1.00000	8.84070	divoced	62.41220	39.43954	80.26342	5.91139	7.91111	5.08316	56.17955	5.05827
97	6.64701	725-97-8711	Brenda Davenport	Y	7.50984	6.05954	1.00000	12.00221	divoced	63.75490	20.06749	61.82081	5.94368	3.93484	6.23502	43.51733	4.70593
98	6.70867	672-69-6553	Dave Cox	yes	3.10069	5.14088	0.00000	20.47706	nop	75.56289	39.35685	9.93316	7.05009	6.11818	6.87898	34.58308	4.67405
99	5.34726	463-04-2836	Ryan Peterson	no	7.72992	6.16686	0.00000	15.81374	divoced	27.11834	54.22996	50.78440	4.05227	6.96301	6.15394	35.68569	5.17153
100	5.22766	486-12-1219	Brittney White	no	6.10923	6.47478	1.00000	18.13367	divoced	60.24504	57.13206	83.03572	7.57451	8.11317	4.81338	63.73573	3.63105
101	5.99059	325-38-5783	Melissa Ward	Y	6.58431	6.46020	1.00000	17.51511	divoced	77.88045	54.17671	85.28375	6.19150	4.57133	5.64861	42.69875	3.65928
102	6.27530	880-60-8792	Jodi Fitzpatrick	yes	2.63494	5.56619	0.00000	16.48595	separated	34.92233	36.24003	22.83272	8.11452	7.09063	5.96674	29.41833	6.21190
103	5.39229	162-88-9997	Patrick Washington Jr.	no	6.64887	5.03200	1.00000	12.35074	divoced	142.08585	20.23447	84.81728	8.01639	6.84581	8.64178	36.73582	4.05170
104	5.45743	445-21-7457	Jimmy Morris	Y	8.07767	5.57348	0.00000	11.09963	divoced	150.92595	24.68564	36.74862	6.82432	5.41812	6.55740	45.35563	5.04900
105	5.88104	105-96-8761	David Rosales	yes	7.20144	4.64245	1.00000	7.83445	divoced	90.55137	76.42581	65.84117	4.30147	5.30302	5.78594	26.24276	4.33555
106	7.42227	580-68-7854	Blake Robles Jr.	no	7.12534	5.40744	0.00000	9.38298	single	85.40672	62.71831	78.10679	6.65760	4.99658	5.71228	46.14289	4.38880
107	5.34516	758-38-5756	Charles Allen MD	no	9.13713	6.14577	1.00000	11.41751	married	59.14252	30.30556	19.44636	6.16367	5.14461	4.97207	27.92879	6.60144
108	6.46827	872-79-0396	Michael Martinez	no	9.25153	3.66890	1.00000	17.36628	separated	84.62801	46.53337	9.35850	5.49472	6.54813	5.15442	24.76565	4.60804
109	5.75610	259-93-4834	Felicia Chaney DDS	no	7.83828	4.98472	1.00000	24.29583	divoced	125.98107	46.44843	46.28191	6.02279	8.01269	5.12575	43.87642	5.96851
110	7.65297	512-55-2020	Richard Stephens	yes	6.11233	4.73133	1.00000	11.01300	nop	90.60368	50.47250	90.47321	4.13578	5.81615	6.82091	49.86013	4.46771
111	6.31386	670-74-6091	Leslie Becker	no	5.29671	5.88598	0.00000	13.17098	divoced	87.21992	43.79102	67.18736	7.45257	7.41917	6.52326	45.41031	4.12952
112	6.59003	405-02-0948	Cynthia Hanna	yes	5.74958	6.35718	1.00000	24.15563	widowed	100.78328	52.62593	81.32056	8.70717	6.71654	6.43682	55.15533	7.30032
113	5.05813	165-02-5191	Charles Camacho	no	7.00242	7.17623	0.00000	10.35175	nop	127.44237	58.68882	78.97124	7.25598	4.90998	5.96956	53.20177	4.74722
114	5.75286	309-93-5819	George Clark	Y	7.91475	6.29090	1.00000	19.06234	married	92.78092	46.65215	49.03047	4.51799	4.53558	5.72065	48.40096	5.50332
115	5.68697	696-99-1675	Heather Alexander	no	5.56550	6.13195	0.00000	25.10010	single	134.20353	36.95831	79.64643	6.74846	8.22375	4.22575	44.04288	7.23242
116	5.99154	537-31-3052	Christopher Lewis	yes	6.04434	6.02000	0.00000	16.01201	single	100.85728	72.83011	77.18033	6.17129	6.89972	4.97639	36.05476	3.84712
117	5.75837	296-20-2117	Michele Callahan	no	9.09522	6.38881	1.00000	22.55517	nop	5.50726	33.21267	16.84171	4.22872	3.05875	6.01592	39.44505	6.10076
118	6.65179	326-55-6791	Tyler Johnson	yes	7.22082	5.10916	1.00000	8.94642	married	87.13466	49.16642	75.49580	5.75873	3.95186	5.07319	61.09450	4.96203
119	6.67109	330-08-3572	Carl Johnson	N	6.31757	6.99806	1.00000	19.12389	single	108.49082	60.80855	90.18053	3.84496	5.01878	6.82623	48.26860	3.97122
120	6.28909	127-17-7160	Justin Sullivan	no	6.78518	6.68456	1.00000	14.65275	married	63.33128	39.80569	84.52656	4.28038	4.42405	7.22553	57.08940	4.01391
121	6.15858	540-85-0442	Erin Morton	yes	7.32845	7.28284	1.00000	15.14012	divoced	39.02984	50.72223	63.24535	5.25306	3.66117	4.95568	75.00662	4.07852
122	5.93016	692-22-2203	Julie Burke	no	7.28686	6.03746	1.00000	16.10940	married	132.13080	43.24444	67.92333	5.95530	8.29342	5.67884	45.12758	4.34521
123	4.91940	361-84-6530	Daniel Valenzuela	Y	6.55801	6.82386	1.00000	14.00084	widowed	66.07672	63.36757	84.76138	5.77224	9.49838	6.23947	51.31769	4.49815
124	5.32178	268-59-7150	Shawn Gates	N	4.10561	6.18588	1.00000	34.73492	separated	80.11438	68.85158	22.05576	7.67862	8.20132	4.62655	41.00073	7.86643
125	5.99443	162-88-9997	Patrick Washington Jr.	yes	7.11193	5.73324	1.00000	10.58695	single	58.37330	59.15692	75.40322	4.74509	5.15820	3.26407	43.46913	4.67884
126	6.30593	859-98-6844	Timothy Taylor	Y	6.47215	6.53459	0.00000	17.66698	married	99.09549	35.27555	88.03437	9.89296		5.68817	55.25408	5.12082
127	5.89064	510-04-4245	Peter Clark	no	7.74092	5.95091	1.00000	16.04704	widowed	55.86355	62.74621	55.87473	8.24389	7.43153	5.88468	50.00537	4.16516
128	6.26832	619-47-1887	Christina Patterson	no	7.96283	6.12345	0.00000	12.52784	divoced	61.31372	54.71957	48.32426	4.53344	5.05648	4.91647	61.00114	3.04902
129	7.78719	203-05-4641	John Heath	yes	4.05086	6.32672	0.00000	16.98129	single	47.10498	63.20460	21.73123	8.73179	8.23739	5.33299	46.55240	6.10397
130	5.84990	894-85-0419	Alexandra Thomas	Y	7.20306	6.37782	1.00000	19.97581	separated	145.38356	51.93150	71.08281	6.14237	7.19957	6.18887	45.49290	4.04342
131	5.66573	510-01-6590	Heather Parker	yes	7.46985	7.01507	1.00000	12.21275	separated	15.60085	40.29189	61.76442	8.26209	6.32270	4.55840	56.00715	3.63018
132	5.88426	574-58-0526	Lauren Burke	Y	8.88922	4.90220	1.00000	18.60957	married	131.08068	54.06442	22.31162	4.67118	4.02511	6.22009	41.36596	6.11250
133	5.62298	117-84-3374	Donald Chambers	no	6.05122	5.47157	1.00000	12.36264	married	93.43252	57.82425	86.51912	5.35839	5.05184	4.63011	29.79694	4.03317
134	5.48155	049-53-6882	Crystal Richardson	no	5.07097	5.43301	1.00000	24.48166	married	75.33481	50.21418	58.45262	6.75178	7.34922	5.52429	49.59862	5.53888
135	7.67195	764-63-6675	Antonio Sparks	yes	7.27465	5.99890	0.00000	18.05924	single	-4.05600	31.08177	67.17124	5.71370	4.49856	6.95636	39.27231	5.78877
136	4.01168	249-53-4900	Zachary Hernandez	yes	6.50420	5.93232	1.00000	14.11659	single	57.86803	53.21528	91.51821	8.44804	7.02119	6.30842	66.68485	5.39152
137	5.63315	670-04-6219	Jordan Melton	Y	5.15548	5.69873	0.00000	18.13603	married	42.83713	37.95506	63.30202	7.84749	8.20211	5.71897	49.25052	5.85230
138	7.21804	634-32-8283	Johnny Ward	N	2.91799	6.99603	0.00000	13.07603	married	67.89132	53.23186	6.28230	8.42533	7.00532	5.16529	39.64733	4.90280
139	5.40851	150-51-6153	Amber Lane	yes	2.48739	5.78203	0.00000	13.43466	nop	76.98021	73.18760	20.02712	8.94637	6.44967	7.25155	46.45156	3.10489
140	6.77512	657-33-2414	Kristin Tyler	Y	4.21981	4.97993	1.00000	15.46127	widowed	78.28227	47.89883	33.08382	6.17786	6.91448	6.09166	72.19467	2.96155
141	5.73190	153-44-8855	Donald Rodriguez	no	8.33957	6.30874	1.00000	16.70995	divoced	80.79191	55.25881	28.30716	5.39466	4.23384	4.50054	60.89699	5.76617
142	5.99290	617-52-9894	Timothy Gutierrez MD	Y	8.93612	5.38672	1.00000	11.70433	widowed	65.37642	35.27976	22.40511	6.03565	6.26289	4.54114	71.58272	4.89556
143	5.56985	815-48-1906	Sarah Ferguson	no	5.58396	7.82114	0.00000	14.41960	divoced	102.35917	41.29198	77.11689	7.15025	7.44989	5.55423	59.12014	4.25766
144	3.89586	728-35-9021	Martin Torres	no	8.49475	6.24258	1.00000	13.31148	nop	113.57188	40.60859	29.65313	6.07622	6.76769	6.97577	45.09551	4.62344
145	4.63188	563-23-1436	Kristen Gardner	no	9.27240	6.73181	1.00000	18.72408	widowed	91.69816	49.12488	11.21844	4.77923	4.17339	5.33708	63.22503	6.58529
146	3.08840	585-19-6528	Melissa Barnes	yes	6.88413	6.61161	0.00000	12.82538	single	122.95658	67.32003	82.26045	5.47081	4.91427	5.46537	59.88444	4.65724
147	6.91366	494-69-5658	Brittany Williams	Y	5.59662	4.38465	0.00000	14.51276	nop	35.36595	39.40320	77.90350	8.56345	6.84242	4.14473	39.24020	3.29378
148	5.61624	319-48-9800	David Collins MD	Y	8.76317	5.52899	1.00000	9.08884	divoced	34.95662	32.92912	21.01373	6.63893	6.69250	5.10461	50.20356	4.08013
149	6.07467	285-90-5868	Robert Mcconnell	no	5.12656	6.36231	0.00000	14.78740	divoced	63.31318	34.62518	71.37291	10.18554	4.46934	3.85379	48.18873	5.55407
150	5.48545	777-79-1447	Thomas Fox	no	8.14450	5.53871	0.00000	28.24093	separated	66.50735	39.77026	36.40589	7.89951	4.44983	4.64864	24.76771	7.08862
151	7.15333	582-98-4677	John Adams DDS	no	4.91892	5.05800	0.00000	12.00577	nop	65.94406	63.64651	53.46870	8.40162	8.34175	6.57071		5.59905
152	6.39738	697-69-2287	Edward Carey	yes	6.58217	7.84352	1.00000	12.01624	divoced	55.63770	51.07568	82.69922	7.28066	7.56432	2.98140	48.77806	4.90021
153	5.56677	387-31-8469	Melissa Solis	no	5.18248	6.73138	0.00000	10.85479	single	104.84438	25.85779	70.42930	6.64706	7.37775	4.91663	36.67626	5.63985
154	5.03477	616-11-2885	Benjamin Smith	yes	6.79625	4.99753	1.00000	21.48112	divoced	33.64389	52.14336	77.09344	4.34834	4.53277	5.82858	41.94502	5.27031
155	6.73880	032-40-9906	Gregory Larson	no	6.74516	5.67625	1.00000	17.94974	divoced	109.19668	44.77823	82.49757	5.18427	6.65613	5.41082	44.75770	4.86952
156	7.12131	312-72-9685	Tricia Hood	no	5.79393	5.35814	1.00000	16.38268	married	42.15190	34.58303	82.97876	4.83866	7.04238	6.64186	47.65207	4.36108
157	6.56167	451-65-0888	Joseph Yates	N	5.85093	6.36435	1.00000	17.62553	divoced	77.07391	30.39284	88.33774	3.08604	5.01584	6.39536	33.52804	3.52774
