ssn,smoker,relationship,job,blood_group,race,sex
016-76-5029,1,widowed,Animal technologist,AB+,White,1
017-35-3199,1,married,Early years teacher,AB+,Indian,1
017-43-5074,1,married,Police officer,A-,Black,1
017-93-9480,0,divorced,"Accountant, chartered management",B+,Black,0
018-08-9350,0,single,"Engineer, civil (contracting)",A+,Black,0
018-40-5252,0,divorced,"Surveyor, minerals",AB-,White,0
018-97-8963,0,divorced,Broadcast journalist,AB+,White,1
019-09-2795,1,married,Mudlogger,O+,Black,1
019-35-2179,1,single,Print production planner,B+,White,0
019-44-6897,0,nop,"Scientist, product/process development",O-,White,1
019-63-8070,1,divorced,"Journalist, broadcasting",A+,White,0
020-05-5103,1,divorced,Theatre director,B+,White,1
020-81-3931,0,widowed,Ecologist,A-,White,0
021-48-8003,0,married,"Producer, television/film/video",AB-,Black,0
021-58-9713,1,divorced,Best boy,A-,Black,1
021-66-3513,0,separated,English as a second language teacher,A-,Black,0
021-92-8561,1,married,"Education officer, museum",AB-,Hawaiian,0
022-04-2549,0,separated,"Production designer, theatre/television/film",AB-,Black,1
022-19-1717,1,single,Meteorologist,A-,Asian,1
022-22-5519,1,widowed,"Biochemist, clinical",O-,White,0
022-53-0024,1,single,"Scientist, audiological",AB-,White,1
022-80-3970,1,single,"Engineer, drilling",O+,White,0
023-29-0994,1,married,Sales promotion account executive,B+,Asian,0
023-53-4416,0,divorced,Pathologist,B-,Black,0
023-54-3522,0,separated,"Civil engineer, consulting",O+,White,1
024-38-4189,0,married,"Research officer, trade union",AB+,White,0
024-91-2665,0,married,IT consultant,B+,Black,0
025-31-3452,0,divorced,Translator,A-,Black,1
025-31-3473,0,married,Sales promotion account executive,O-,Black,1
025-60-7131,0,single,Building control surveyor,O+,White,0
025-71-2115,1,single,Clinical molecular geneticist,A-,White,1
025-83-9432,1,married,Clinical biochemist,A+,Black,1
026-07-7970,1,single,Fisheries officer,A+,White,0
026-13-7283,1,nop,"Programmer, multimedia",A+,Black,1
026-17-4906,1,separated,"Programmer, multimedia",O+,White,0
026-56-2643,0,divorced,Electrical engineer,B-,Black,0
026-74-9784,0,nop,Adult nurse,AB+,White,0
027-39-8294,0,married,Operations geologist,A-,Black,0
027-51-8979,0,divorced,Furniture conservator/restorer,A+,White,1
027-57-6440,1,divorced,Equities trader,A+,White,1
027-67-2007,0,widowed,"Engineer, water",AB+,White,0
027-91-9076,1,married,Photographer,AB+,White,0
028-19-0807,0,married,"Editor, commissioning",A-,White,0
028-21-2236,1,single,Public relations officer,A+,White,0
028-23-7746,0,widowed,"Therapist, horticultural",A+,Hawaiian,1
028-49-9804,1,single,"Administrator, arts",A-,White,1
028-63-2843,0,widowed,"Journalist, newspaper",AB+,White,1
028-73-7785,1,married,Air traffic controller,O-,Asian,1
028-87-6415,0,married,"Geneticist, molecular",O+,White,0
029-50-3831,1,married,Sports development officer,O+,Black,1
029-80-0209,1,single,Economist,A+,Black,1
029-82-9024,1,married,"Psychologist, clinical",O+,White,0
030-11-4077,0,widowed,Patent examiner,B+,Black,1
030-67-5757,0,widowed,Clinical biochemist,B-,Black,0
031-59-6738,0,married,Health and safety inspector,AB-,White,0
031-81-9828,1,single,Housing manager/officer,O+,White,0
031-97-5322,0,separated,Mudlogger,AB+,White,0
032-40-9906,0,divorced,Health and safety adviser,AB+,Black,1
032-57-9415,0,single,Chief Marketing Officer,AB+,Black,1
032-72-1050,0,divorced,Seismic interpreter,A+,White,0
033-03-1108,0,widowed,Museum/gallery exhibitions officer,O-,White,1
033-03-9459,0,single,"Clinical scientist, histocompatibility and immunogenetics",B-,White,1
033-09-3527,0,nop,Engineering geologist,O-,White,1
033-52-2620,1,married,Market researcher,B+,Hawaiian,1
033-90-5709,1,married,Armed forces operational officer,B-,White,1
034-03-4699,1,nop,Firefighter,O-,Black,0
034-03-8405,0,single,Sub,B-,Black,1
034-17-7430,1,divorced,Chief of Staff,O-,White,0
034-78-1042,0,separated,Firefighter,AB-,White,0
035-04-4300,1,married,Sports administrator,A+,Black,0
035-10-8705,1,separated,"Teacher, English as a foreign language",O+,White,0
035-87-2128,1,married,"Psychotherapist, child",B+,White,1
036-20-2487,0,married,"Programme researcher, broadcasting/film/video",AB+,White,1
036-64-7272,0,married,Newspaper journalist,B+,Black,0
037-13-8748,0,married,Careers adviser,B-,Indian,1
037-22-7431,1,nop,"Education officer, environmental",B+,Hawaiian,1
037-35-0368,1,divorced,Research scientist (life sciences),O-,Black,0
037-44-8824,1,divorced,Forensic psychologist,B+,Black,0
037-67-4570,1,separated,Landscape architect,O-,Black,1
038-15-6599,0,married,Immunologist,O-,White,0
038-32-4266,1,married,Customer service manager,B-,Black,0
038-85-9678,0,married,"Designer, blown glass/stained glass",B+,Black,1
039-16-7836,0,single,Police officer,AB-,Indian,0
040-19-2579,0,single,"Research officer, government",A-,Black,1
040-73-0309,1,separated,Management consultant,O+,White,0
041-02-1571,0,widowed,Haematologist,O-,Indian,0
041-20-9583,1,married,Chartered management accountant,A+,White,1
041-50-1073,1,single,Tax inspector,A-,Black,1
041-80-5494,0,separated,Commercial art gallery manager,A+,White,0
042-56-7928,0,nop,Interpreter,B+,White,0
042-67-9325,0,divorced,Economist,B+,Black,1
042-81-3007,1,separated,Advertising art director,AB-,White,1
043-09-4180,1,married,Academic librarian,O+,White,1
043-32-0800,0,separated,Regulatory affairs officer,A-,White,1
043-66-3774,1,divorced,Government social research officer,B+,White,0
043-95-3838,0,single,Commercial art gallery manager,AB-,White,1
044-11-6164,0,divorced,Public librarian,A-,Black,1
044-24-8083,1,nop,Research scientist (medical),AB+,White,1
044-48-0070,1,divorced,"Doctor, general practice",AB-,White,0
044-61-8051,1,nop,"Education officer, community",A-,Black,0
044-93-6449,0,married,Art gallery manager,O-,White,1
045-19-6805,1,divorced,Hydrographic surveyor,AB-,Black,1
045-25-8461,1,single,Optometrist,A+,White,1
045-26-9401,0,nop,Armed forces logistics/support/administrative officer,B+,White,0
045-53-4612,0,single,Maintenance engineer,A+,White,0
046-35-8060,0,married,"Conservation officer, nature",O+,Black,0
046-86-6397,0,single,Chartered legal executive (England and Wales),B+,White,0
048-04-5401,1,single,Electronics engineer,AB-,Hawaiian,1
048-71-3046,1,single,Biomedical scientist,AB+,White,0
048-87-0721,0,single,Secondary school teacher,B+,Hawaiian,1
048-99-5620,1,married,Call centre manager,B-,Hawaiian,1
049-53-6882,0,married,Waste management officer,O+,Black,0
049-85-1606,0,single,Database administrator,A-,Asian,0
049-94-8769,1,divorced,Clinical research associate,AB+,White,0
049-96-8677,1,single,"Teacher, music",B-,White,1
050-18-9289,0,married,Horticultural consultant,B-,Indian,1
050-68-5750,0,single,"Librarian, public",A+,White,1
051-14-4408,0,married,Musician,B+,Black,0
051-23-9258,1,single,"Therapist, art",A+,White,1
052-37-1393,1,divorced,Plant breeder/geneticist,AB-,White,1
052-46-9869,1,divorced,Commissioning editor,B+,White,0
052-50-6101,1,divorced,Architectural technologist,B-,Black,0
053-41-5840,1,single,"Embryologist, clinical",A+,White,1
053-52-7819,0,married,Chief Financial Officer,O-,White,1
054-09-8427,1,married,Armed forces training and education officer,O+,White,0
054-47-1582,0,nop,Television camera operator,A+,White,0
055-56-0363,1,married,Hydrographic surveyor,A-,Hawaiian,0
055-60-1203,0,single,"Presenter, broadcasting",B+,White,0
055-90-8681,0,divorced,Probation officer,AB-,Black,1
056-05-4700,1,married,Telecommunications researcher,A-,Black,1
056-12-3355,0,single,"Optician, dispensing",B+,White,1
056-42-0548,1,widowed,Printmaker,O+,White,1
056-85-0166,0,divorced,Risk analyst,B-,White,0
057-82-9154,0,nop,Multimedia specialist,A+,Asian,0
058-29-1114,1,widowed,Museum education officer,O-,White,1
058-48-0453,0,married,"Engineer, civil (consulting)",O-,White,0
058-58-8484,1,married,Land,O+,Hawaiian,1
058-64-9293,0,single,"Nurse, children's",O+,Hawaiian,1
058-80-4965,1,married,"Therapist, art",B-,Black,0
059-31-0202,0,divorced,Arboriculturist,AB-,White,0
059-56-4093,1,divorced,"Horticulturist, amenity",A+,Asian,1
060-04-9467,1,single,"Designer, blown glass/stained glass",B-,Black,1
060-46-8577,1,separated,Media buyer,AB+,White,1
061-06-3998,1,married,Lobbyist,AB+,White,1
061-52-0992,0,nop,Licensed conveyancer,A-,White,0
061-56-8829,1,married,Production manager,O-,White,0
061-88-7576,1,married,Software engineer,O-,Asian,1
061-98-8979,0,married,Architectural technologist,AB+,White,0
062-05-8036,1,single,"Restaurant manager, fast food",B-,White,1
062-44-2842,0,divorced,Visual merchandiser,O+,Asian,0
062-47-4764,0,widowed,Biomedical engineer,A+,Indian,0
062-80-2024,1,married,Rural practice surveyor,B-,White,0
063-41-5013,0,separated,Proofreader,A+,White,1
063-43-6891,0,single,"Merchandiser, retail",A-,Black,0
064-02-7988,1,divorced,Furniture designer,O-,Black,1
064-36-3916,0,nop,Occupational hygienist,B+,Black,0
064-73-5365,1,single,Actuary,O-,Black,0
065-18-3295,0,nop,Hospital pharmacist,A+,Asian,0
066-51-0997,1,married,Historic buildings inspector/conservation officer,O-,White,1
067-10-9767,1,divorced,Industrial buyer,A-,Asian,1
067-19-5291,1,nop,"Doctor, hospital",O-,Black,1
067-73-0981,1,married,Broadcast presenter,A+,White,1
067-84-9429,0,separated,Interior and spatial designer,O-,Black,0
068-01-4184,1,nop,"Editor, film/video",O+,White,0
068-12-0943,1,single,Aid worker,B-,Black,0
068-41-2329,0,single,Comptroller,A+,White,0
069-21-5361,0,married,Leisure centre manager,B-,White,0
069-32-4129,0,single,Psychiatrist,B+,Black,0
069-94-1629,1,married,"Scientist, biomedical",AB-,Black,1
070-75-1689,1,divorced,Petroleum engineer,AB-,Black,1
070-76-0405,0,separated,Special educational needs teacher,AB+,Black,1
071-01-6581,0,married,"Engineer, aeronautical",O+,Indian,1
071-61-7237,0,widowed,"Production assistant, radio",O+,Black,1
071-88-6463,1,single,"Pilot, airline",B+,White,0
072-13-5122,0,married,"Programmer, applications",AB+,Black,1
072-25-5548,1,separated,"Teacher, adult education",AB+,White,0
072-85-7467,0,widowed,Tax inspector,O-,Hawaiian,0
073-61-9020,0,married,Automotive engineer,O+,White,0
073-90-4940,0,nop,Insurance broker,AB-,Black,0
074-25-8211,0,divorced,Armed forces technical officer,B-,Black,0
074-63-9448,0,divorced,Banker,AB+,Asian,1
075-33-0187,0,nop,Archaeologist,A+,Black,0
075-66-1318,0,widowed,Broadcast engineer,B+,Black,1
076-44-6437,1,divorced,Associate Professor,O+,White,0
076-54-2238,1,widowed,Minerals surveyor,A-,White,0
077-16-3774,1,married,Chief Operating Officer,B+,Black,1
077-56-1594,0,widowed,Volunteer coordinator,A+,Black,0
077-62-2899,0,widowed,Tax adviser,AB+,White,1
077-65-0886,1,divorced,Contracting civil engineer,AB+,White,1
078-10-6020,0,married,Learning mentor,B+,White,1
078-15-9570,0,nop,Camera operator,AB-,Asian,0
078-21-6986,0,married,Brewing technologist,O+,Black,0
078-32-2567,0,married,Educational psychologist,AB+,White,0
078-36-3032,0,married,Corporate investment banker,O+,White,0
078-42-1382,1,single,Forest/woodland manager,AB+,Black,1
078-90-2088,0,single,Sports administrator,A+,White,0
078-95-9359,0,single,Diagnostic radiographer,A+,White,0
079-06-8477,0,nop,Insurance underwriter,AB-,White,1
079-08-9933,0,nop,Occupational psychologist,O-,White,0
079-47-5178,0,single,Farm manager,AB+,White,1
079-48-2768,1,separated,Waste management officer,O-,Black,0
079-58-2053,1,widowed,Advertising art director,AB+,Black,0
079-67-3117,0,married,"Engineer, maintenance (IT)",B+,White,0
080-01-7405,0,divorced,Geophysicist/field seismologist,O-,Black,0
080-03-3701,1,married,"Librarian, academic",O+,Black,1
080-05-3109,0,single,Economist,AB+,White,1
080-41-3051,1,divorced,Theatre manager,AB+,Asian,1
080-53-6681,0,separated,"Designer, jewellery",B+,White,0
080-76-6549,1,divorced,"Designer, industrial/product",AB+,Black,0
080-81-9622,0,single,"Therapist, drama",A-,White,0
080-92-2967,0,widowed,Insurance claims handler,B+,Hawaiian,0
081-31-6677,1,married,"Research officer, trade union",A-,White,0
082-30-6112,0,married,Publishing rights manager,O-,White,0
082-53-9497,0,divorced,Chief Operating Officer,B-,White,1
082-64-8895,1,divorced,Product manager,A+,White,0
082-80-6353,1,single,"Physicist, medical",B+,White,0
083-03-6069,0,single,Further education lecturer,B-,Black,1
083-26-3981,0,single,Dance movement psychotherapist,B+,White,0
083-50-1660,0,separated,Furniture conservator/restorer,O-,Black,0
084-20-4957,1,separated,"Therapist, music",AB-,Black,0
084-72-4253,1,widowed,Mental health nurse,O-,White,0
084-96-7854,0,nop,Meteorologist,O-,Asian,1
085-22-7373,1,married,Hospital pharmacist,B+,White,0
085-36-5862,1,separated,Government social research officer,AB+,White,0
086-39-2096,1,nop,Print production planner,A+,Black,1
086-90-9108,1,widowed,Water quality scientist,A-,Black,0
086-96-4265,0,divorced,"Engineer, land",A+,Black,1
087-18-3109,0,divorced,Probation officer,B-,Black,1
087-36-3328,0,single,"Pilot, airline",AB+,Hawaiian,0
087-45-7106,0,separated,Housing manager/officer,B-,White,1
087-48-9122,1,married,Conference centre manager,AB-,Black,1
087-67-4149,1,married,Music therapist,A+,White,0
087-70-7776,1,divorced,Solicitor,O+,White,0
088-81-2791,1,single,Hydrogeologist,O+,White,0
089-12-6003,0,divorced,Lexicographer,AB+,Indian,0
089-54-8904,0,married,Energy engineer,B+,Black,0
090-10-3760,1,single,Media buyer,A-,Black,0
090-21-9434,0,divorced,IT consultant,B+,Hawaiian,1
090-88-6810,1,separated,IT consultant,AB+,Asian,0
091-36-8285,1,married,Adult nurse,A-,White,1
091-88-8925,0,married,Sports therapist,A+,White,0
092-56-6151,0,divorced,Systems developer,A-,Asian,1
092-67-7039,0,single,Broadcast presenter,O-,White,0
094-49-5396,0,married,Regulatory affairs officer,B+,Black,0
094-53-2922,0,single,Nature conservation officer,A+,Indian,0
094-70-8309,1,married,Psychiatrist,A-,White,0
094-97-7491,0,married,Web designer,O+,Indian,1
095-31-1095,1,divorced,"Designer, graphic",O-,Black,0
095-40-6995,0,separated,Fisheries officer,B-,Black,1
095-70-2253,0,single,Publishing rights manager,B+,Black,1
095-84-6707,0,separated,"Buyer, industrial",O-,Black,1
096-28-7778,1,widowed,Magazine journalist,O-,White,0
096-38-4893,1,nop,Electrical engineer,O+,White,1
098-10-4790,0,married,Cytogeneticist,O-,White,1
098-39-6440,0,single,Clinical cytogeneticist,AB-,White,0
098-69-4353,0,single,Ship broker,B-,Black,1
098-78-5196,0,married,Secondary school teacher,AB+,White,1
098-95-5325,1,married,Systems developer,O-,Black,0
099-07-6150,0,married,Museum/gallery curator,O-,Hawaiian,0
099-16-4205,0,divorced,IT sales professional,O-,White,0
099-20-6768,1,nop,Retail manager,B-,Black,1
099-29-9246,0,single,Art gallery manager,A+,Indian,1
099-30-0807,1,separated,"Surveyor, planning and development",A+,Black,1
099-54-9890,1,widowed,Hydrologist,O-,Asian,0
099-85-7521,0,divorced,"Development worker, community",A+,White,1
099-95-6210,0,divorced,Proofreader,O-,White,0
100-15-7005,1,widowed,Fisheries officer,AB+,White,0
100-62-7197,0,divorced,Dentist,A-,White,1
100-63-9003,0,nop,Curator,B-,Asian,1
101-58-6394,1,nop,Social worker,O-,Black,0
101-87-6035,0,divorced,Petroleum engineer,B+,Indian,0
102-02-6900,1,separated,Retail banker,O+,White,1
102-35-8625,0,widowed,"Therapist, nutritional",A+,White,1
102-67-6240,1,married,Recycling officer,A+,White,1
102-68-9952,1,married,Armed forces operational officer,O+,White,1
102-71-6091,1,married,Research scientist (physical sciences),B-,Asian,1
103-37-9466,1,single,Hydrogeologist,B-,White,0
103-51-9767,0,married,Theme park manager,AB-,White,1
103-58-9337,1,nop,Regulatory affairs officer,AB+,Black,1
103-70-0378,0,married,Politician's assistant,AB-,Black,1
104-25-1716,0,single,"Engineer, chemical",AB-,White,0
104-55-3466,0,single,Physiotherapist,AB-,Black,1
104-64-6708,1,divorced,"Engineer, civil (consulting)",B+,White,1
104-68-3780,1,married,Office manager,B-,Black,1
105-67-8024,0,single,Chief of Staff,AB-,White,1
105-68-6598,1,divorced,Armed forces technical officer,B+,White,0
105-96-8761,1,divorced,"Designer, television/film set",AB+,Black,1
106-46-6553,0,divorced,"Nurse, mental health",A-,Asian,0
106-61-4961,0,divorced,Civil Service fast streamer,B+,Hawaiian,0
107-31-6536,1,married,Careers information officer,B-,Indian,0
107-33-6552,0,widowed,Visual merchandiser,AB-,White,1
107-84-3033,0,single,Actuary,O+,White,0
107-92-7240,1,married,"Psychotherapist, dance movement",O-,Asian,1
107-96-8863,1,single,"Engineer, chemical",O+,White,0
108-18-8181,0,single,Manufacturing systems engineer,AB+,Asian,0
108-19-9921,1,single,Trading standards officer,O-,White,0
108-35-8760,0,nop,Advice worker,B+,White,1
108-57-9254,0,divorced,Dance movement psychotherapist,A-,Black,1
109-56-4692,1,widowed,Applications developer,AB+,Black,1
109-66-8224,0,married,Illustrator,A-,White,0
109-74-4280,0,married,Media planner,B+,White,0
110-17-2242,1,widowed,Hospital doctor,O-,White,1
110-83-0008,0,married,Chiropodist,AB-,White,1
111-50-8944,1,nop,Actuary,A-,Asian,0
111-69-0968,0,nop,Leisure centre manager,A+,Black,1
111-90-7614,0,separated,Armed forces logistics/support/administrative officer,A+,White,1
112-17-0737,1,widowed,"Scientist, clinical (histocompatibility and immunogenetics)",AB-,White,0
112-38-5245,0,single,Research scientist (maths),O+,Asian,1
112-42-0429,0,separated,Outdoor activities/education manager,A+,Asian,0
112-85-4756,0,single,"Journalist, newspaper",B+,White,0
112-97-8695,0,married,Physiological scientist,A-,White,0
112-98-2255,0,divorced,Museum/gallery conservator,O-,White,1
113-70-9240,1,separated,Maintenance engineer,AB-,Indian,1
113-71-8204,1,divorced,Commercial art gallery manager,B-,White,1
114-34-6708,1,married,Dance movement psychotherapist,O+,White,1
114-46-1867,0,widowed,Community arts worker,B+,White,1
114-51-8024,0,divorced,"Scientist, research (maths)",O+,Hawaiian,0
114-54-7741,1,single,Copy,AB-,Asian,1
114-89-1645,1,married,"Designer, textile",O+,Hawaiian,1
115-22-3855,1,nop,Financial controller,O+,White,1
115-22-7635,0,nop,Media planner,AB+,White,0
115-36-4691,1,divorced,"Sound technician, broadcasting/film/video",AB-,White,0
115-47-4239,0,separated,"Designer, jewellery",O+,White,1
115-50-9645,0,divorced,"Surveyor, planning and development",AB+,Hawaiian,0
115-55-7919,0,nop,Visual merchandiser,A+,White,1
116-02-7486,0,nop,Phytotherapist,A+,Black,1
116-40-3298,1,single,Broadcast engineer,B-,White,0
116-50-3320,0,separated,Television/film/video producer,A+,White,1
116-76-9768,1,divorced,"Administrator, sports",AB+,White,0
117-84-3374,0,married,Music tutor,O+,Black,1
118-42-3526,0,nop,"Therapist, music",A+,Asian,0
118-68-0026,0,single,Field seismologist,A-,White,0
118-94-8300,0,widowed,Economist,O-,Black,1
119-53-5604,0,married,"Engineer, site",O-,White,0
119-77-2460,0,single,Nutritional therapist,O-,White,1
120-42-7628,1,married,"Education officer, community",B+,White,1
120-63-7274,0,single,Energy manager,AB+,White,1
120-68-7290,1,married,Health promotion specialist,B+,White,0
121-10-0068,0,separated,Chemical engineer,AB-,White,0
121-46-8783,1,nop,Sports coach,AB-,White,1
121-68-3592,1,married,Animator,O+,Hawaiian,1
121-79-3439,1,widowed,"Sales professional, IT",AB+,Black,1
122-07-3461,0,single,"Therapist, occupational",A-,White,1
122-71-3119,1,single,Scientific laboratory technician,AB-,Black,1
122-75-7478,0,separated,Chief Technology Officer,O-,Asian,1
122-89-9380,0,nop,Chiropodist,A-,Black,0
123-47-6440,1,separated,Advice worker,AB+,Black,1
123-56-5780,0,single,Legal secretary,A-,Black,0
123-75-1319,1,widowed,Technical brewer,B+,White,0
123-83-9055,0,widowed,"Designer, jewellery",A+,White,1
123-90-0906,0,single,"Development worker, community",O-,White,1
124-04-7482,0,divorced,"Surveyor, quantity",A+,White,1
124-69-6318,0,widowed,Industrial buyer,AB-,White,1
125-40-6278,0,single,Learning mentor,B-,White,1
125-48-9935,0,married,Child psychotherapist,AB-,Black,1
126-18-1775,0,married,Diagnostic radiographer,O-,Asian,1
126-25-2711,0,married,Occupational therapist,O-,White,0
127-08-1733,0,divorced,Land,B+,White,1
127-11-4303,1,widowed,Press sub,AB+,Asian,0
127-17-7160,0,married,"Teacher, special educational needs",B+,White,1
127-24-9214,0,divorced,Graphic designer,AB+,Black,0
128-10-0106,1,nop,Counselling psychologist,A+,White,1
128-15-5838,0,married,Purchasing manager,O+,Black,1
128-16-9378,0,married,Computer games developer,O+,White,1
128-18-9122,0,single,Health visitor,A+,Black,1
128-23-2422,1,single,Social researcher,B+,White,0
128-23-5667,1,widowed,"Engineer, agricultural",A+,Indian,0
128-42-6746,0,divorced,"Physicist, medical",O-,Black,0
128-78-8696,0,single,Ergonomist,A-,White,0
129-11-4698,0,divorced,Civil Service fast streamer,B-,White,0
129-57-7905,0,married,Jewellery designer,O-,Hawaiian,1
129-66-0563,1,divorced,Hotel manager,A-,White,1
129-92-3582,0,divorced,"Engineer, technical sales",B+,White,0
130-46-1827,1,married,"Pharmacist, community",A-,Black,0
130-71-6793,0,single,Toxicologist,B+,Black,1
130-72-0008,0,divorced,Amenity horticulturist,A-,Black,1
131-09-8267,1,divorced,Production manager,A+,White,1
131-23-5710,0,widowed,Dealer,A+,White,0
131-57-3676,0,separated,"Secretary, company",O+,White,1
132-02-3971,0,married,Television floor manager,O+,White,0
132-09-6153,0,married,"Conservation officer, historic buildings",O-,White,0
132-65-3216,0,divorced,Trading standards officer,O+,White,0
133-36-0087,0,married,Housing manager/officer,O-,White,0
133-99-3765,0,divorced,Architect,O+,Black,1
134-12-3448,0,separated,"Surveyor, building control",AB-,White,0
134-71-3934,0,widowed,"Librarian, public",B+,White,1
134-97-6106,0,married,Photographer,B+,Black,0
135-30-2498,0,separated,Sport and exercise psychologist,O+,Black,0
135-53-6047,1,single,Insurance broker,B-,Asian,0
135-61-2704,0,nop,"Administrator, sports",AB+,White,0
136-30-7671,0,single,Early years teacher,O-,Black,1
136-87-8728,0,divorced,IT trainer,B+,Black,0
137-65-1650,1,divorced,Medical secretary,B-,Black,0
137-82-7635,0,divorced,Museum/gallery conservator,O-,White,0
137-89-7296,0,divorced,Facilities manager,B-,Black,1
138-12-8369,0,widowed,Claims inspector/assessor,AB+,Asian,1
139-07-2597,1,nop,"Engineer, water",A-,White,1
139-08-4156,1,married,Financial manager,AB+,White,0
139-22-5505,0,married,Financial manager,O+,Black,0
139-39-6862,0,nop,Publishing rights manager,B-,White,0
139-73-4809,0,single,Glass blower/designer,O+,White,0
139-98-1720,0,nop,Orthoptist,AB+,White,1
140-16-1723,0,single,Risk analyst,A+,Black,1
140-55-0445,0,married,"Surveyor, planning and development",A+,Asian,1
140-72-3307,0,married,Multimedia specialist,AB+,White,0
140-86-4749,1,nop,Futures trader,A-,Asian,0
141-53-8581,0,married,Arts development officer,O+,White,0
141-97-2614,0,divorced,Production engineer,A-,Indian,0
142-19-4122,0,married,"Editor, magazine features",O-,Black,0
142-47-9440,0,divorced,Emergency planning/management officer,AB-,Black,0
142-53-7064,0,single,Personal assistant,O-,White,1
142-57-9305,1,nop,Chief Marketing Officer,B+,Black,0
144-02-4006,0,married,Rural practice surveyor,A+,White,0
144-06-3954,0,divorced,"Psychologist, forensic",AB+,White,1
144-31-4368,1,married,Hospital pharmacist,B-,White,0
144-88-1487,1,widowed,Surgeon,B-,Asian,1
144-91-4276,1,separated,"Journalist, broadcasting",A+,White,0
146-62-7704,0,divorced,Clinical biochemist,AB+,White,0
146-83-4551,1,widowed,Music tutor,O+,Black,0
147-14-9445,1,widowed,Multimedia specialist,A-,White,0
147-16-1826,0,married,Clinical molecular geneticist,AB+,Indian,1
147-92-6604,1,married,Therapeutic radiographer,A+,White,1
148-02-4782,0,single,Medical illustrator,A+,White,0
148-10-6951,0,single,"Designer, industrial/product",A+,Black,0
149-07-9288,0,single,"Psychotherapist, dance movement",AB-,Black,0
149-56-4432,0,nop,"Accountant, chartered certified",A+,White,0
149-63-9854,1,divorced,Maintenance engineer,A-,White,0
149-92-7262,0,single,Hospital doctor,AB+,White,1
150-13-5720,0,single,Forensic psychologist,A+,White,1
150-51-6153,1,nop,Chief Technology Officer,AB+,Black,0
150-71-4167,1,divorced,Hospital pharmacist,A+,White,0
150-72-5100,0,nop,Optometrist,B+,White,1
151-33-2600,0,single,Retail banker,A-,White,0
151-59-9805,1,single,Restaurant manager,AB+,White,1
151-74-1683,0,married,Heritage manager,B+,White,1
151-82-9362,1,widowed,Learning disability nurse,O+,White,0
152-26-0030,1,married,"Administrator, Civil Service",O-,Black,1
152-76-7044,0,single,Contracting civil engineer,O+,Black,0
153-02-9528,0,single,Actor,O+,Black,0
153-06-1225,1,married,Curator,AB-,Black,1
153-44-8855,0,divorced,Sales executive,AB+,White,1
153-77-9130,0,married,Pharmacologist,B-,Black,1
154-12-0426,1,divorced,Ophthalmologist,AB+,White,1
154-89-9797,1,married,"Civil engineer, contracting",B+,White,1
155-10-7987,0,divorced,Pension scheme manager,B-,White,1
